마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,20820.8,18467.5,18032.4,16240.5
매출,20820.8,18467.5,18032.4,16240.5
기타 매출 총계,-,-,-,-
총매출원가,17252.3,15257.4,14992.5,13533.6
총 이익,3568.5,3210.1,3039.9,2706.9
총 영업비용,19365.8,17288.3,16898.8,15253.2
판매/일반/관리 비용 총계,2149.5,2030.9,1906.3,1719.6
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-36,-,-,-
기타 영업비용 총계,-,2030.9,-,-
영업 이익,1455,1179.2,1133.6,987.3
영업외이자수익(비용) 순계,-150.9,-154.9,-159.4,-148.6
자산처분이익(손실),-,-,-,-
기타비용 순계,-6.3,-22,-24.5,1.8
세전당기순이익,1297.8,1002.3,949.7,840.5
소득세충당금,309.2,213.8,212.9,199.4
세후당기순이익,988.6,788.5,736.8,641.1
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,988.6,788.5,736.8,641.1
특별손익항목 총계,-,-,-,1.9
순이익,988.6,788.5,736.8,643
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,988.6,788.5,736.8,641.1
희석화에 따른 조정,-,-,-,-
희석 당기순이익,988.6,788.5,736.8,643
희석된 가중 평균 주식,140.5,144.8,147.8,153.6
특별손익항목 제외 희석주당순이익,7.04,5.45,4.99,4.17
주당배당금 - 발행 보통주,1.7,1.54,1.26,0.93
희석 정상주당순이익,7.29,5.58,5.03,4.21
