마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3803.84,3586.98,3471.21,3691.25
매출,3803.84,3586.98,3471.21,3693.8
기타 매출 총계,-,-,-,-2.56
총매출원가,-,-,-,-
총 영업비용,2998.53,2798.83,2799.25,2917.56
연료비,1152.55,993.42,1127.19,1089.07
운영 및 유지,954.07,958.91,941.62,1036.74
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,650.88,614.38,590.93,582.35
영업이자비용(수익) 순계,-,-,-84.95,-12.95
특별비용(수익),-,-,-,-
기타 영업비용 총계,241.03,232.12,224.47,222.35
영업 이익,805.31,788.15,671.96,773.69
영업외이자수익(비용) 순계,-186.17,-180.63,-176.75,-157.74
자산처분이익(손실),-,-,-,-
기타비용 순계,126.89,40.7,46.83,48.49
세전당기순이익,746.03,648.23,542.04,664.44
소득세충당금,146.64,128.72,108.31,140.63
세후당기순이익,599.39,519.51,433.73,523.82
소액주주지분,-17.22,-19.49,-19.49,-19.49
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,582.16,500.02,414.24,504.32
특별손익항목 총계,36.56,50.54,124.08,6.72
순이익,618.72,550.56,538.32,511.05
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,582.16,500.02,414.24,504.32
희석화에 따른 조정,-,-,-,-
희석 당기순이익,618.72,550.56,538.32,511.05
희석된 가중 평균 주식,113.19,112.94,112.76,112.55
특별손익항목 제외 희석주당순이익,5.14,4.43,3.67,4.48
주당배당금 - 발행 보통주,3.34,3.18,3,2.82
희석 정상주당순이익,5.14,4.43,3.67,4.48
