마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,29453,22284,17911,17048.5
매출,29453,22284,17911,17048.5
기타 매출 총계,-,-,-,-
총매출원가,11501,9809,7927,7543.2
총 이익,17952,12475,9984,9505.3
총 영업비용,22071,17624,14649,13993.4
판매/일반/관리 비용 총계,8198,6896,5589,5391
연구 및 개발,1742,1348,1126,1059.2
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),83,-429,7,-
기타 영업비용 총계,547,-,-,-
영업 이익,7382,4660,3262,3055.1
영업외이자수익(비용) 순계,174,-204,31,-127.7
자산처분이익(손실),-,-,-,-
기타비용 순계,42,39,12,34.5
세전당기순이익,7598,4495,3305,2961.9
소득세충당금,1251,849,873,562.6
세후당기순이익,6347,3646,2432,2399.3
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,6347,3646,2432,2399.3
특별손익항목 총계,86,-,576,251.6
순이익,6433,3646,3008,2650.9
당기순이익에 대한 조정 총계,-164,-136,-68,-
특별손익항목 제외 보통주주 분배 가능 이익,6183,3510,2364,2399.3
희석화에 따른 조정,78,1,2,2.2
희석 당기순이익,6347,3511,2942,2653.1
희석된 가중 평균 주식,736.8,718.7,725.5,710.2
특별손익항목 제외 희석주당순이익,8.5,4.89,3.26,3.38
주당배당금 - 발행 보통주,0.81,0.71,0.67,0.62
희석 정상주당순이익,8.62,4.33,3.17,3.38
