마감 기준:,"2022
02/01","2021
03/01","2019
29/12","2018
30/12"
총매출,4357.37,4117.41,3618.77,3432.87
매출,4357.37,4117.41,3618.77,3432.87
기타 매출 총계,-,-,-,-
총매출원가,2669.13,2522.92,2216.28,2130.19
총 이익,1688.24,1594.49,1402.5,1302.68
총 영업비용,3576.97,3391.77,2989.37,2861.18
판매/일반/관리 비용 총계,907.83,868.85,773.09,730.99
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,780.41,725.64,629.41,571.69
영업외이자수익(비용) 순계,-154.7,-170.51,-146.77,-143.01
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,625.71,555.13,482.64,428.68
소득세충당금,115.24,63.83,81.93,66.71
세후당기순이익,510.47,491.3,400.71,361.97
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,510.47,491.3,400.71,361.97
특별손익항목 총계,-,-,-,-
순이익,510.47,491.3,400.71,361.97
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,510.47,491.3,400.71,361.97
희석화에 따른 조정,-,-,-,-
희석 당기순이익,510.47,491.3,400.71,361.97
희석된 가중 평균 주식,37.69,39.64,41.92,43.33
특별손익항목 제외 희석주당순이익,13.54,12.39,9.56,8.35
주당배당금 - 발행 보통주,3.76,3.12,2.6,2.2
희석 정상주당순이익,13.58,12.46,9.61,8.27
