마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,13964,14172,14401,13366
매출,13710,13267,13348,12153
기타 매출 총계,254,905,1053,1213
총매출원가,70,53,88,122
총 영업비용,10945,12117,12866,9765
연료비,3451,3132,4445,3461
운영 및 유지,3703,3588,3153,3458
판매/일반/관리 비용 총계,-,-,123,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,2478,2332,2283,2000
영업이자비용(수익) 순계,-,-,74,-2
특별비용(수익),334,2141,2014,23
기타 영업비용 총계,909,871,883,703
영업 이익,3019,2055,1535,3601
영업외이자수익(비용) 순계,-372,-3677,-1477,-1296
자산처분이익(손실),-,-,-,-
기타비용 순계,451,3033,811,824
세전당기순이익,3098,1411,869,3129
소득세충당금,425,83,209,534
세후당기순이익,2673,1328,660,2595
소액주주지분,-26,149,-18,-102
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2647,1477,642,2493
특별손익항목 총계,641,-1878,716,-46
순이익,3288,-401,1358,2447
당기순이익에 대한 조정 총계,-68,-65,-17,-
특별손익항목 제외 보통주주 분배 가능 이익,2579,1412,625,2493
희석화에 따른 조정,-,-,-,-
희석 당기순이익,3220,-466,1341,2447
희석된 가중 평균 주식,808.5,831,808.9,654.9
특별손익항목 제외 희석주당순이익,3.19,1.7,0.77,3.81
주당배당금 - 발행 보통주,2.52,3.45,3.67,3.34
희석 정상주당순이익,3.55,4.12,2.66,3.84
