마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5777.8,4854.2,5366.8,5191.2
매출,5777.8,4854.2,5366.8,5191.2
기타 매출 총계,-,-,-,-
총매출원가,1860.4,1583.4,1939.7,1911.7
총 이익,3917.4,3270.8,3427.1,3279.5
총 영업비용,4297.6,3580.7,2947.7,3810.7
판매/일반/관리 비용 총계,1809.3,1573.7,1928.7,1883.1
연구 및 개발,528.4,423.6,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),99.5,-,-920.7,15.9
기타 영업비용 총계,-,-,-,-
영업 이익,1480.2,1273.5,2419.1,1380.5
영업외이자수익(비용) 순계,-234.1,-218.5,-190.3,-182.3
자산처분이익(손실),-,-,-,-
기타비용 순계,24.9,-3.6,-1.4,0.2
세전당기순이익,1271,1051.4,2227.4,1198.4
소득세충당금,288.4,225.9,459.5,268.1
세후당기순이익,982.6,825.5,1767.9,930.3
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,982.6,825.5,1767.9,930.3
특별손익항목 총계,170,124.2,-,14.1
순이익,1152.6,949.7,1767.9,944.4
당기순이익에 대한 조정 총계,170,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,982.6,825.5,1767.9,930.3
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1152.6,949.7,1767.9,944.4
희석된 가중 평균 주식,106.5,105.7,105.1,104.4
특별손익항목 제외 희석주당순이익,9.23,7.81,16.82,8.91
주당배당금 - 발행 보통주,2.25,2.05,1.85,1.65
희석 정상주당순이익,9.95,7.81,9.87,9.03
