마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,48704,41518,46840,42294
매출,48704,41518,46840,42294
기타 매출 총계,-,-,-,-
총매출원가,13241,11583,13156,13065
총 이익,35463,29935,33684,29229
총 영업비용,36166,36545,35237,33995
판매/일반/관리 비용 총계,9615,8908,10581,10067
연구 및 개발,10281,10102,9696,7854
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),3029,5952,1804,3009
기타 영업비용 총계,-,-,-,-
영업 이익,12538,4973,11603,8299
영업외이자수익(비용) 순계,873,421,-810,10
자산처분이익(손실),-,-,-,-
기타비용 순계,468,469,671,392
세전당기순이익,13879,5863,11464,8701
소득세충당금,1521,1340,1570,2219
세후당기순이익,12358,4523,9894,6482
소액주주지분,-13,-4,66,27
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,12345,4519,9960,6509
특별손익항목 총계,704,2548,-117,-289
순이익,13049,7067,9843,6220
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,12345,4519,9960,6509
희석화에 따른 조정,-,-,-,-
희석 당기순이익,13049,7067,9843,6220
희석된 가중 평균 주식,2538,2541,2580,2679
특별손익항목 제외 희석주당순이익,4.86,1.78,3.86,2.43
주당배당금 - 발행 보통주,2.64,2.48,2.26,1.99
희석 정상주당순이익,6.81,4.7,5.37,4.12
