마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,14838,10165,10168,10529.6
매출,14838,10165,10168,10529.6
기타 매출 총계,-,-,-,-
총매출원가,11983,8255,8067,8300.2
총 이익,2855,1910,2101,2229.4
총 영업비용,13687,9547,8865,9339.7
판매/일반/관리 비용 총계,753,475,460,505.9
연구 및 개발,707,476,413,440.1
감가상각/무형자산상각,-,38,-,-
영업이자비용(수익) 순계,-,-,-,-0.3
특별비용(수익),253,307,-87,97.9
기타 영업비용 총계,-9,-4,12,-4.1
영업 이익,1151,618,1303,1189.9
영업외이자수익(비용) 순계,-407,339,-11,-3.4
자산처분이익(손실),-,-,-,-
기타비용 순계,45,7,-27,9.4
세전당기순이익,789,964,1265,1195.9
소득세충당금,150,397,446,223.9
세후당기순이익,639,567,819,972
소액주주지분,-102,-67,-51,-53.9
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,537,500,768,918.1
특별손익항목 총계,-,-,-22,12.6
순이익,537,500,746,930.7
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,537,500,768,918.1
희석화에 따른 조정,-,-,-,-
희석 당기순이익,537,500,746,930.7
희석된 가중 평균 주식,239.5,214,206.8,209.5
특별손익항목 제외 희석주당순이익,2.24,2.34,3.71,4.38
주당배당금 - 발행 보통주,0.68,0.68,0.68,0.68
희석 정상주당순이익,3.1,3.18,3.44,4.76
