마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,155606,94471,140156,158767
매출,155606,94471,140156,158767
기타 매출 총계,-,-,-,-
총매출원가,89372,50488,80096,94545
총 이익,66234,43983,60060,64222
총 영업비용,138224,99875,137063,143316
판매/일반/관리 비용 총계,10854,8543,8279,8705
연구 및 개발,549,1537,770,1210
감가상각/무형자산상각,17925,19508,29218,19419
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,859,-1000,-
기타 영업비용 총계,19524,18940,19700,19437
영업 이익,17382,-5404,3093,15451
영업외이자수익(비용) 순계,4945,-1169,2860,5684
자산처분이익(손실),-,-,-,-
기타비용 순계,-688,-880,-417,-560
세전당기순이익,21639,-7453,5536,20575
소득세충당금,5950,-1892,2688,5741
세후당기순이익,15689,-5561,2848,14834
소액주주지분,-64,18,79,-36
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,15625,-5543,2927,14798
특별손익항목 총계,-,-,-3,26
순이익,15625,-5543,2924,14824
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,15625,-5543,2927,14798
희석화에 따른 조정,-,-,-,-
희석 당기순이익,15625,-5543,2924,14824
희석된 가중 평균 주식,1920,1870,1895,1914
특별손익항목 제외 희석주당순이익,8.14,-2.96,1.54,7.73
주당배당금 - 발행 보통주,5.31,5.16,4.76,4.48
희석 정상주당순이익,8.22,-1.25,1.27,7.73
