마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,9356.9,8041.5,7580.3,7440.1
매출,9356.9,8041.5,7580.3,7440.1
기타 매출 총계,-,-,-,-
총매출원가,2682,2227.2,2216.8,2177.8
총 이익,6674.9,5814.3,5363.5,5262.3
총 영업비용,6263.1,5225.8,4914.1,5538.4
판매/일반/관리 비용 총계,811.6,778.7,730.4,733.2
연구 및 개발,-,-,-,-
감가상각/무형자산상각,2332.6,1882.3,1778.4,2110.8
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),444.4,346.1,322,185.9
기타 영업비용 총계,-7.5,-8.5,-133.5,330.7
영업 이익,3093.8,2815.7,2666.2,1901.7
영업외이자수익(비용) 순계,-266.5,-970.2,-761.3,-775.4
자산처분이익(손실),-,-,-,-
기타비용 순계,2.1,-24.4,11.5,28.3
세전당기순이익,2829.4,1821.1,1916.4,1154.6
소득세충당금,261.8,129.6,-0.2,-110.1
세후당기순이익,2567.6,1691.5,1916.6,1264.7
소액주주지분,0.1,-0.9,-28.8,-28.3
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2567.7,1690.6,1887.8,1236.4
특별손익항목 총계,-,-,-,-
순이익,2567.7,1690.6,1887.8,1236.4
당기순이익에 대한 조정 총계,-,-,-,-9.4
특별손익항목 제외 보통주주 분배 가능 이익,2567.7,1690.6,1887.8,1227
희석화에 따른 조정,-,-,1.2,-
희석 당기순이익,2567.7,1690.6,1887.8,1227
희석된 가중 평균 주식,453.29,446.1,445.52,442.96
특별손익항목 제외 희석주당순이익,5.66,3.79,4.24,2.77
주당배당금 - 발행 보통주,5.03,4.33,3.61,3.01
희석 정상주당순이익,6.55,4.51,4.95,3.04
