마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,257637,182527,161857,136819
매출,257637,182527,161857,136819
기타 매출 총계,-,-,-,-
총매출원가,110939,84732,71896,59549
총 이익,146698,97795,89961,77270
총 영업비용,178923,141303,127626,109295
판매/일반/관리 비용 총계,36422,28998,28015,23256
연구 및 개발,31562,27573,26018,21419
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,1697,5071
기타 영업비용 총계,-,-,-,-
영업 이익,78714,41224,34231,27524
영업외이자수익(비용) 순계,13517,8104,5473,8383
자산처분이익(손실),-,-,-,-
기타비용 순계,-1497,-1246,-79,-994
세전당기순이익,90734,48082,39625,34913
소득세충당금,14701,7813,5282,4177
세후당기순이익,76033,40269,34343,30736
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,76033,40269,34343,30736
특별손익항목 총계,-,-,-,-
순이익,76033,40269,34343,30736
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,76033,40269,34343,30736
희석화에 따른 조정,5097,2707,-,-
희석 당기순이익,81130,42976,34343,30736
희석된 가중 평균 주식,723.1,733.21,745.08,703.28
특별손익항목 제외 희석주당순이익,112.2,58.61,46.09,43.7
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,112.2,58.61,48.07,50.05
