마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,14289.4,13171.1,14953.7,15290.2
매출,14289.4,13171.1,14953.7,15290.2
기타 매출 총계,-,-,-,-
총매출원가,10402,9679.6,10972.2,11306.1
총 이익,3887.4,3491.5,3981.5,3984.1
총 영업비용,12118.1,11580,12831.4,13156.7
판매/일반/관리 비용 총계,1527.9,1499,1627.7,1765
연구 및 개발,-,-,-,-
감가상각/무형자산상각,212.1,222.6,231.5,264
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-23.9,178.8,-,-178.4
기타 영업비용 총계,-,-,-,-
영업 이익,2171.3,1591.1,2122.3,2133.5
영업외이자수익(비용) 순계,-103.8,-139.2,-132.1,-146.3
자산처분이익(손실),-,-,-,-
기타비용 순계,-78.7,-42.6,-51.9,-62.9
세전당기순이익,1988.8,1409.3,1938.3,1924.3
소득세충당금,521.5,381.7,504.4,463.8
세후당기순이익,1467.3,1027.6,1433.9,1460.5
소액주주지분,-99.8,-75.4,-96.8,-114.1
관계회사 주식,7.5,-6.8,2,8.9
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1375,945.4,1339.1,1355.3
특별손익항목 총계,32.8,-,-,-28.9
순이익,1407.8,945.4,1339.1,1326.4
당기순이익에 대한 조정 총계,-,-,-,-0.1
특별손익항목 제외 보통주주 분배 가능 이익,1375,945.4,1339.1,1355.2
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1407.8,945.4,1339.1,1326.3
희석된 가중 평균 주식,215.6,216.2,220.9,227.6
특별손익항목 제외 희석주당순이익,6.38,4.37,6.06,5.95
주당배당금 - 발행 보통주,2.75,2.6,2.55,2.4
희석 정상주당순이익,6.69,5.09,6.06,5.36
