마감 기준:,"2021
25/12","2020
26/12","2019
28/12","2018
29/12"
총매출,26042,26185,24977,26268
매출,26042,26185,24977,26268
기타 매출 총계,-,-,-,-
총매출원가,17343,17028,16782,17149
총 이익,8699,9157,8195,9119
총 영업비용,22539,24076,21913,36636
판매/일반/관리 비용 총계,3518,3607,3105,3068
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),1678,3441,2026,16419
기타 영업비용 총계,-,-,-,-
영업 이익,3503,2109,3064,-10368
영업외이자수익(비용) 순계,-2017,-1394,-1373,-1305
자산처분이익(손실),-,-,-,-
기타비용 순계,222,315,970,352
세전당기순이익,1708,1030,2661,-11321
소득세충당금,919,750,728,-1171
세후당기순이익,789,280,1933,-10150
소액주주지분,-12,-5,2,62
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,777,275,1935,-10088
특별손익항목 총계,235,81,-,-104
순이익,1012,356,1935,-10192
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,777,275,1935,-10088
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1012,356,1935,-10192
희석된 가중 평균 주식,1236,1228,1224,1219
특별손익항목 제외 희석주당순이익,0.63,0.22,1.58,-8.28
주당배당금 - 발행 보통주,1.6,1.6,1.6,2.5
희석 정상주당순이익,1.26,2.05,2.78,0.48
