마감 기준:,"2021
31/10","2020
31/10","2019
31/10","2018
31/10"
총매출,4941,4221,4303,3878
매출,4941,4221,4303,3878
기타 매출 총계,-,-,-,-
총매출원가,1872,1688,1769,1767
총 이익,3069,2533,2534,2111
총 영업비용,3861,3456,3592,4272
판매/일반/관리 비용 총계,1195,1097,1155,1205
연구 및 개발,811,715,688,624
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-32,-,709
기타 영업비용 총계,-17,-12,-20,-33
영업 이익,1080,765,711,-394
영업외이자수익(비용) 순계,-73,-67,-62,-67
자산처분이익(손실),-,-,-,-
기타비용 순계,3,63,66,50
세전당기순이익,1010,761,715,-411
소득세충당금,116,134,94,-576
세후당기순이익,894,627,621,165
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,894,627,621,165
특별손익항목 총계,-,-,-,294
순이익,894,627,621,165
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,894,627,621,165
희석화에 따른 조정,-,-,-,-
희석 당기순이익,894,627,621,165
희석된 가중 평균 주식,187,189,191,191
특별손익항목 제외 희석주당순이익,4.78,3.32,3.25,0.86
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,4.87,3.26,3.33,3.53
