마감 기준:,"2021
31/10","2020
31/10","2019
31/10","2018
31/10"
총매출,27784,26982,29135,30852
매출,27784,26982,29135,30852
기타 매출 총계,-,-,-,-
총매출원가,18408,18513,19642,21621
총 이익,9376,8469,9493,9231
총 영업비용,24296,27311,27852,30469
판매/일반/관리 비용 총계,4929,4628,4907,4921
연구 및 개발,1979,1874,1842,1667
감가상각/무형자산상각,354,379,267,294
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-1374,1917,1194,1966
기타 영업비용 총계,-,-,-,-
영업 이익,3488,-329,1283,383
영업외이자수익(비용) 순계,-31,-148,-157,-236
자산처분이익(손실),-,-,-,-
기타비용 순계,130,35,427,121
세전당기순이익,3587,-442,1553,268
소득세충당금,160,-120,16,-2499
세후당기순이익,3427,-322,1537,2767
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,3427,-322,1537,2767
특별손익항목 총계,-,-,-488,-859
순이익,3427,-322,1049,1908
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,3427,-322,1537,2767
희석화에 따른 조정,-,-,-,-
희석 당기순이익,3427,-322,1049,1908
희석된 가중 평균 주식,1330,1294,1366,1553
특별손익항목 제외 희석주당순이익,2.58,-0.25,1.13,1.78
주당배당금 - 발행 보통주,0.48,0.48,0.45,0.38
희석 정상주당순이익,1.59,0.71,2.47,2.6
