주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,215,231,261,252,189
영업이익,2,-13,-26,-35,-7
영업이익(발표기준),2,-13,-26,-35,-7
세전계속사업이익,-34,-51,-60,-195,-9
당기순이익,-34,-51,-64,-193,-8
  당기순이익(지배),-34,-50,-62,-192,-8
  당기순이익(비지배),,-2,-3,-1,0
자산총계,290,284,631,386,"1,040"
부채총계,154,177,403,144,531
자본총계,136,107,228,242,510
  자본총계(지배),136,96,222,242,507
  자본총계(비지배),,,6,0,2
자본금,160,164,61,80,114
영업활동현금흐름,2,-13,-30,-18,-11
투자활동현금흐름,-72,10,-172,21,69
재무활동현금흐름,25,16,352,-96,627
CAPEX,2,12,3,2,3
FCF,0,-25,-34,-19,-13
이자발생부채,82,82,241,73,439
영업이익률,0.93,-5.79,-10.05,-13.88,-3.83
순이익률,-15.56,-22.19,-24.62,-76.76,-4.01
ROE(%),-31.04,,-38.67,-82.72,-2.02
ROA(%),-11.55,,-14.02,-37.98,-1.06
부채비율,113.62,164.99,176.39,59.46,104.17
자본유보율,-2.79,-28.99,273.82,210.68,350.08
EPS(원),-715,-757,-758,"-1,496",-43
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"2,135","1,472","1,850","1,536","2,243"
PBR(배),2.46,1.59,2.70,1.87,3.06
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"6,380,745","6,559,057","12,171,057","15,933,155","22,791,043"
