주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,077",950,793,818,698
영업이익,-16,-21,-23,12,36
영업이익(발표기준),-16,-21,-23,12,36
세전계속사업이익,-57,-58,-24,-32,38
당기순이익,-71,-98,-30,-61,38
  당기순이익(지배),-71,-99,-30,-61,38
  당기순이익(비지배),-1,1,,,
자산총계,873,784,791,652,647
부채총계,686,558,596,522,478
자본총계,187,226,195,130,169
  자본총계(지배),183,220,195,130,169
  자본총계(비지배),5,,,,
자본금,108,163,163,163,163
영업활동현금흐름,66,-36,51,60,47
투자활동현금흐름,-42,-2,-24,-6,18
재무활동현금흐름,-1,79,-39,-50,-32
CAPEX,67,32,22,4,7
FCF,-1,-68,29,56,40
이자발생부채,334,300,317,264,253
영업이익률,-1.47,-2.20,-2.93,1.51,5.13
순이익률,-6.62,-10.29,-3.72,-7.43,5.39
ROE(%),-27.56,-49.06,-14.22,-37.46,25.18
ROA(%),-7.55,-11.80,-3.75,-8.43,5.79
부채비율,365.90,246.40,305.75,402.26,282.96
자본유보율,79.60,35.64,19.95,-14.82,2.26
EPS(원),-294,-347,-91,-186,115
PER(배),N/A,N/A,N/A,N/A,7.88
BPS(원),759,676,597,398,518
PBR(배),1.92,0.78,0.98,1.83,1.75
현금DPS(원),0,,,,
현금배당수익률,0.00,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"24,070,205","32,628,051","32,628,051","32,628,051","32,628,051"
