주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"3,616","3,258","3,236","2,053","1,723"
영업이익,-92,-204,-392,-12,8
영업이익(발표기준),-92,-204,-392,-12,8
세전계속사업이익,-98,-260,-526,-8,-169
당기순이익,12,-315,-611,-283,-294
  당기순이익(지배),31,-318,-619,-174,-274
  당기순이익(비지배),-20,3,8,-109,-21
자산총계,"3,455","3,329","2,785","2,386","1,827"
부채총계,"1,234","1,414","1,479","1,412","1,089"
자본총계,"2,221","1,914","1,306",975,738
  자본총계(지배),"2,100","1,791","1,173",951,737
  자본총계(비지배),121,,132,24,1
자본금,236,236,236,239,241
영업활동현금흐름,43,-54,96,113,-70
투자활동현금흐름,-160,-337,-73,73,214
재무활동현금흐름,7,106,-78,-89,-77
CAPEX,206,148,126,97,41
FCF,-163,-202,-30,16,-111
이자발생부채,717,792,749,652,330
영업이익률,-2.55,-6.26,-12.12,-0.58,0.46
순이익률,0.32,-9.66,-18.89,-13.79,-17.07
ROE(%),1.47,-16.34,-41.78,-16.41,-32.42
ROA(%),0.34,-9.28,-19.99,-10.95,-13.97
부채비율,55.58,73.89,113.28,144.81,147.59
자본유보율,849.84,727.41,466.47,389.91,273.94
EPS(원),66,-672,"-1,310",-365,-569
PER(배),63.47,N/A,N/A,N/A,N/A
BPS(원),"4,595","3,876","2,540","2,039","1,568"
PBR(배),0.92,0.74,1.21,1.53,0.77
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"47,276,784","47,276,784","47,276,784","47,718,750","48,103,069"
