주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"3,457","2,845","3,199","2,999","3,560"
영업이익,-43,42,75,88,146
영업이익(발표기준),-43,42,75,88,146
세전계속사업이익,-128,-62,-27,-53,31
당기순이익,-105,-77,-38,-71,19
  당기순이익(지배),-102,-87,-64,-83,-6
  당기순이익(비지배),-3,10,26,13,24
자산총계,"2,815","2,960","3,005","2,960","3,301"
부채총계,"2,376","2,502","2,476","2,561","2,761"
자본총계,439,457,529,399,541
  자본총계(지배),286,195,248,176,301
  자본총계(비지배),154,,281,223,240
자본금,21,21,38,38,45
영업활동현금흐름,97,66,177,289,253
투자활동현금흐름,-118,181,-70,-210,-202
재무활동현금흐름,5,-110,-52,-109,-46
CAPEX,101,201,97,233,290
FCF,-4,-134,81,57,-37
이자발생부채,"1,767","1,994","1,950","1,900","1,927"
영업이익률,-1.25,1.48,2.34,2.94,4.10
순이익률,-3.04,-2.71,-1.18,-2.36,0.53
ROE(%),-40.14,-36.23,-28.77,-39.36,-2.31
ROA(%),-3.77,-2.67,-1.27,-2.37,0.60
부채비율,540.70,547.27,468.46,641.80,510.48
자본유보율,"1,087.21",661.52,455.35,251.83,485.95
EPS(원),-643,-367,-237,-219,-14
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,206",822,655,462,666
PBR(배),1.23,1.25,0.97,4.27,2.28
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"23,679,552","23,679,552","37,810,821","38,092,246","45,255,561"
