주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,211,270,341,340,420
영업이익,16,31,46,48,61
영업이익(발표기준),16,31,46,48,61
세전계속사업이익,3,20,43,17,68
당기순이익,1,16,43,11,57
  당기순이익(지배),1,15,39,8,54
  당기순이익(비지배),,2,4,3,3
자산총계,354,509,567,578,755
부채총계,166,368,382,288,385
자본총계,188,140,185,290,370
  자본총계(지배),188,135,175,277,353
  자본총계(비지배),,6,10,12,17
자본금,6,3,31,45,45
영업활동현금흐름,9,14,29,59,41
투자활동현금흐름,4,-44,-3,-35,-118
재무활동현금흐름,-18,35,-3,-15,70
CAPEX,3,44,15,34,118
FCF,6,-30,14,25,-78
이자발생부채,139,281,288,215,292
영업이익률,7.52,11.65,13.51,14.21,14.54
순이익률,0.62,6.03,12.54,3.09,13.56
ROE(%),0.70,,25.14,3.36,16.98
ROA(%),0.36,,7.96,1.84,8.55
부채비율,88.15,262.30,206.37,99.56,104.10
자본유보율,"3,016.29","2,972.66",335.04,434.07,558.95
EPS(원),12,148,439,85,599
PER(배),,,,,
BPS(원),"1,784","1,521","1,961","3,108","3,941"
PBR(배),0.00,0.00,0.00,0.00,0.00
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),1.69,0.09,0.04,0.00,
발행주식수(보통주),"6,116,000","6,116,000","6,116,000","8,916,900","8,959,106"
