주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,622,519,424,339,368
영업이익,2,6,-8,-210,-110
영업이익(발표기준),2,6,-8,-210,-110
세전계속사업이익,-21,-2,-30,-242,-118
당기순이익,-14,2,-28,-203,-92
  당기순이익(지배),-14,2,-28,-203,-92
  당기순이익(비지배),0,0,0,0,0
자산총계,936,"1,050","1,025",877,872
부채총계,416,523,527,505,527
자본총계,520,527,499,373,345
  자본총계(지배),520,527,499,373,345
  자본총계(비지배),0,,0,0,0
자본금,41,41,41,47,52
영업활동현금흐름,-1,31,-19,-18,-49
투자활동현금흐름,-70,-161,42,-33,12
재무활동현금흐름,58,106,-29,40,35
CAPEX,58,81,13,7,10
FCF,-59,-50,-32,-25,-58
이자발생부채,300,403,405,406,382
영업이익률,0.35,1.22,-1.86,-62.01,-29.98
순이익률,-2.21,0.42,-6.49,-59.89,-25.04
ROE(%),-2.56,0.45,-5.37,-46.59,-25.58
ROA(%),-1.50,0.22,-2.65,-21.35,-10.53
부채비율,80.03,99.15,105.66,135.39,152.67
자본유보율,"1,194.84","1,240.98","1,167.71",714.21,580.04
EPS(원),-167,29,-339,"-2,352",-923
PER(배),N/A,194.72,N/A,N/A,N/A
BPS(원),"6,403","6,663","6,302","4,016","3,365"
PBR(배),0.99,0.85,0.87,1.44,1.78
현금DPS(원),23,28,13,0,
현금배당수익률,0.36,0.49,0.24,0.00,
현금배당성향(%),-13.74,93.69,-3.74,0.00,
발행주식수(보통주),"8,120,970","8,120,970","8,120,970","9,494,724","10,474,399"
