주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,144,173,210,238,252
영업이익,7,15,28,41,18
영업이익(발표기준),7,15,28,41,18
세전계속사업이익,6,9,11,28,8
당기순이익,8,10,9,40,16
  당기순이익(지배),8,10,9,40,16
  당기순이익(비지배),,,,,
자산총계,354,389,505,557,757
부채총계,140,168,188,196,305
자본총계,214,221,317,361,452
  자본총계(지배),214,221,317,361,452
  자본총계(비지배),,,,,
자본금,32,32,35,36,38
영업활동현금흐름,8,43,37,38,62
투자활동현금흐름,-57,-104,-96,-55,-218
재무활동현금흐름,77,17,91,5,171
CAPEX,55,93,50,57,33
FCF,-47,-50,-13,-18,29
이자발생부채,104,127,148,153,239
영업이익률,4.96,8.93,13.55,17.07,7.32
순이익률,5.40,5.58,4.33,16.59,6.21
ROE(%),3.66,4.43,3.38,11.67,3.85
ROA(%),2.48,2.60,2.03,7.45,2.38
부채비율,65.40,75.77,59.52,54.13,67.49
자본유보율,577.29,598.80,800.05,916.79,"1,090.36"
EPS(원),123,152,135,561,211
PER(배),67.95,59.05,78.69,34.43,72.25
BPS(원),"3,386","3,494","4,500","5,060","5,960"
PBR(배),2.46,2.58,2.36,3.81,2.56
현금DPS(원),30,40,50,50,30
현금배당수익률,0.36,0.44,0.47,0.26,0.20
현금배당성향(%),24.44,26.24,38.73,9.02,14.53
발행주식수(보통주),"6,328,942","6,328,942","7,037,317","7,215,094","7,640,489"
