주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,452","1,198","1,099",467,"1,043"
영업이익,-17,-4,-25,-74,-9
영업이익(발표기준),-17,-4,-25,-74,-9
세전계속사업이익,-104,-167,-52,-119,156
당기순이익,-182,-210,-28,-226,104
  당기순이익(지배),-209,-202,8,-163,130
  당기순이익(비지배),27,-8,-36,-63,-26
자산총계,994,656,926,649,682
부채총계,601,309,572,275,279
자본총계,393,347,354,374,403
  자본총계(지배),243,181,204,272,403
  자본총계(비지배),138,,151,103,
자본금,81,81,81,124,125
영업활동현금흐름,-68,-66,-54,-72,-61
투자활동현금흐름,230,77,-214,170,-275
재무활동현금흐름,-128,-47,224,63,173
CAPEX,12,5,16,4,106
FCF,-80,-71,-70,-75,-167
이자발생부채,226,0,321,63,114
영업이익률,-1.18,-0.32,-2.24,-15.81,-0.86
순이익률,-12.55,-17.52,-2.54,-48.40,9.98
ROE(%),-66.67,-94.99,4.21,-68.72,38.58
ROA(%),-17.02,-25.44,-3.54,-28.73,15.63
부채비율,153.06,89.19,161.34,73.35,69.14
자본유보율,328.10,67.38,79.33,45.06,147.60
EPS(원),-259,-249,10,-194,104
PER(배),N/A,N/A,131.29,N/A,7.48
BPS(원),317,237,266,219,323
PBR(배),4.15,5.56,4.95,5.02,2.41
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"80,808,407","80,808,407","80,808,407","124,435,974","125,282,405"
