주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,720,707,821,939,964,"1,087","1,224","1,399"
영업이익,75,109,154,187,210,235,284,332
영업이익(발표기준),75,109,154,187,210,,,
세전계속사업이익,90,124,176,211,230,257,290,343
당기순이익,77,115,150,183,188,216,243,287
  당기순이익(지배),80,116,146,182,184,215,242,285
  당기순이익(비지배),-3,-1,4,1,4,,,
자산총계,"1,336","1,536","1,670","1,771","1,889","2,010","2,203","2,443"
부채총계,394,495,513,464,261,428,450,478
자본총계,942,"1,041","1,157","1,307","1,627","1,582","1,753","1,965"
  자본총계(지배),903,"1,020","1,129","1,271","1,586","1,544","1,713","1,924"
  자본총계(비지배),39,,29,36,41,,,
자본금,57,60,61,61,69,61,61,61
영업활동현금흐름,164,20,172,277,231,293,297,339
투자활동현금흐름,-69,-137,16,-15,-234,-66,-98,-109
재무활동현금흐름,-67,107,-35,-110,-151,-102,-68,-72
CAPEX,241,112,7,8,9,50,50,50
FCF,-77,-92,165,269,223,,,
이자발생부채,264,362,377,315,41,,,
영업이익률,10.36,15.46,18.75,19.95,21.74,21.62,23.20,23.73
순이익률,10.72,16.28,18.25,19.54,19.48,19.87,19.85,20.52
ROE(%),,12.04,13.61,15.20,12.89,13.74,14.86,15.67
ROA(%),,8.01,9.35,10.66,10.27,11.08,11.54,12.35
부채비율,41.84,47.50,44.29,35.53,16.05,27.05,25.67,24.33
자본유보율,"1,594.24","1,760.25","1,949.89","2,190.41","2,402.84",,,
EPS(원),702,990,"1,207","1,499","1,503","1,553","1,747","2,057"
PER(배),17.60,11.16,11.01,12.54,11.05,10.72,9.53,8.09
BPS(원),"8,483","9,231","10,250","11,570","12,698","12,320","13,669","15,353"
PBR(배),1.46,1.20,1.30,1.62,1.31,1.35,1.22,1.08
현금DPS(원),310,320,350,400,500,550,580,600
현금배당수익률,2.51,2.90,2.63,2.13,3.01,3.30,3.48,3.60
현금배당성향(%),41.21,30.55,26.36,24.10,33.93,35.44,33.20,29.16
발행주식수(보통주),"11,478,731","12,088,063","12,139,563","12,198,063","13,811,662",,,
