주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,762,953,"1,039","1,105","1,391"
영업이익,138,167,122,190,319
영업이익(발표기준),138,167,122,190,319
세전계속사업이익,142,170,135,199,366
당기순이익,122,149,111,161,288
  당기순이익(지배),122,149,111,161,288
  당기순이익(비지배),,,,,
자산총계,904,"1,119","1,278","1,420","1,680"
부채총계,226,318,396,400,405
자본총계,678,801,882,"1,021","1,275"
  자본총계(지배),678,801,882,"1,021","1,275"
  자본총계(비지배),,,,,
자본금,26,26,26,51,51
영업활동현금흐름,130,158,196,196,202
투자활동현금흐름,-233,-171,-11,-136,-229
재무활동현금흐름,0,24,-44,-61,-47
CAPEX,1,8,1,4,5
FCF,129,150,196,192,197
이자발생부채,0,50,65,37,28
영업이익률,18.09,17.52,11.76,17.16,22.90
순이익률,16.07,15.62,10.72,14.57,20.71
ROE(%),,20.13,13.24,16.92,25.09
ROA(%),,14.72,9.29,11.93,18.58
부채비율,33.33,39.74,44.90,39.16,31.75
자본유보율,"2,553.82","3,028.66","3,343.49","1,891.37","2,389.64"
EPS(원),"1,431","1,453","1,087","1,571","2,811"
PER(배),9.15,13.06,13.07,15.78,8.09
BPS(원),"6,616","7,819","8,607","9,965","12,449"
PBR(배),1.98,2.43,1.65,2.49,1.83
현금DPS(원),250,300,225,320,560
현금배당수익률,1.91,1.58,1.58,1.29,2.46
현금배당성향(%),20.91,20.65,20.69,20.36,19.92
발행주식수(보통주),"10,245,706","10,245,706","10,245,706","10,245,706","10,245,706"
