주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,987,930,915,375,508
영업이익,65,55,61,4,45
영업이익(발표기준),65,55,61,4,45
세전계속사업이익,42,58,58,1,45
당기순이익,28,35,31,-9,26
  당기순이익(지배),28,35,31,-9,26
  당기순이익(비지배),,,,,0
자산총계,"2,103","2,083","2,156","2,161","2,549"
부채총계,205,165,172,83,109
자본총계,"1,898","1,918","1,984","2,079","2,440"
  자본총계(지배),"1,898","1,918","1,984","2,079","2,437"
  자본총계(비지배),,,,,3
자본금,829,861,876,970,"1,159"
영업활동현금흐름,134,4,96,298,40
투자활동현금흐름,-63,-55,147,7,15
재무활동현금흐름,41,30,,-8,-5
CAPEX,2,0,4,6,
FCF,132,4,91,292,40
이자발생부채,49,68,83,3,21
영업이익률,6.60,5.95,6.63,1.12,8.84
순이익률,2.83,3.72,3.43,-2.49,5.14
ROE(%),1.46,1.81,1.61,-0.46,1.16
ROA(%),1.31,1.65,1.48,-0.43,1.11
부채비율,10.80,8.59,8.67,3.98,4.47
자본유보율,127.00,128.41,131.93,119.90,114.27
EPS(원),29,32,29,-9,17
PER(배),18.25,7.37,7.99,N/A,8.44
BPS(원),"1,877","1,760","1,820","1,521","1,430"
PBR(배),0.28,0.13,0.13,0.16,0.10
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"101,153,324","109,000,686","109,000,686","136,637,536","170,480,489"
