주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,444","3,547","3,556","3,112","4,383","5,222","5,773"
영업이익,189,280,299,230,253,378,450
영업이익(발표기준),189,280,299,230,253,,
세전계속사업이익,137,275,296,228,239,368,447
당기순이익,100,217,220,152,171,283,344
  당기순이익(지배),100,217,220,152,171,283,344
  당기순이익(비지배),,,,,,,
자산총계,"1,924","2,499","2,755","2,800","3,608","4,010","4,457"
부채총계,894,"1,293","1,359","1,304","1,922","2,086","2,234"
자본총계,"1,030","1,206","1,397","1,496","1,685","1,924","2,223"
  자본총계(지배),"1,030","1,206","1,397","1,496","1,685","1,924","2,223"
  자본총계(비지배),,,,,,,
자본금,112,112,112,112,112,112,112
영업활동현금흐름,16,-68,293,313,-199,285,350
투자활동현금흐름,-78,-271,-156,-69,-115,-213,-205
재무활동현금흐름,34,387,13,-202,112,15,25
CAPEX,76,239,108,49,92,209,201
FCF,-60,-308,186,265,-291,72,145
이자발생부채,292,568,730,562,768,,
영업이익률,7.75,7.89,8.42,7.39,5.77,7.24,7.80
순이익률,4.10,6.12,6.19,4.87,3.90,5.42,5.96
ROE(%),9.90,19.40,16.91,10.47,10.74,15.68,16.59
ROA(%),5.54,9.81,8.38,5.46,5.33,7.43,8.13
부채비율,86.84,107.24,97.27,87.14,114.08,108.42,100.49
자본유보율,966.75,"1,121.35","1,282.08","1,376.15","1,497.23",,
EPS(원),446,965,979,674,760,"1,259","1,530"
PER(배),23.68,7.77,7.09,18.40,13.62,9.61,7.91
BPS(원),"5,159","6,041","6,996","7,495","8,441","9,637","11,135"
PBR(배),2.05,1.24,0.99,1.65,1.23,1.26,1.09
현금DPS(원),180,200,200,200,200,200,200
현금배당수익률,1.71,2.67,2.88,1.61,1.93,1.65,1.65
현금배당성향(%),35.87,18.41,18.14,26.35,23.38,15.89,13.07
발행주식수(보통주),"22,482,268","22,482,268","22,482,268","22,482,268",,,
