주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,,11,133,132
영업이익,,,-25,33,23
영업이익(발표기준),,,-25,33,23
세전계속사업이익,,,-40,-36,32
당기순이익,,,-40,-22,36
  당기순이익(지배),,,-40,-22,36
  당기순이익(비지배),,,,,
자산총계,,,20,189,507
부채총계,,,147,66,66
자본총계,,,-127,123,441
  자본총계(지배),,,-127,123,441
  자본총계(비지배),,,,,
자본금,,,4,27,34
영업활동현금흐름,,,-21,37,10
투자활동현금흐름,,,-3,-58,-129
재무활동현금흐름,,,0,111,279
CAPEX,,,1,57,3
FCF,,,-22,-20,7
이자발생부채,,,80,40,41
영업이익률,,,-219.78,24.96,17.12
순이익률,,,-356.08,-16.78,26.83
ROE(%),,,,"1,170.34",12.59
ROA(%),,,,-21.22,10.21
부채비율,,,-116.05,53.62,14.91
자본유보율,,,"-3,585.57",349.19,"1,166.22"
EPS(원),,,"-2,631","-1,031",567
PER(배),,,,,20.20
BPS(원),,,"-8,266","2,305","6,408"
PBR(배),,,0.00,0.00,1.79
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"1,377,000","1,535,884","1,535,884","5,343,330","6,879,180"
