주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,307,257,198,175,68
영업이익,3,-31,-36,4,-62
영업이익(발표기준),3,-31,-36,4,-62
세전계속사업이익,2,-10,-34,3,-55
당기순이익,2,-10,-34,3,-55
  당기순이익(지배),2,-10,-34,3,-55
  당기순이익(비지배),,,,0,0
자산총계,221,223,212,541,306
부채총계,24,21,38,257,77
자본총계,197,202,174,284,229
  자본총계(지배),197,202,174,283,228
  자본총계(비지배),,,,1,1
자본금,70,70,71,99,99
영업활동현금흐름,-37,-10,18,-129,-239
투자활동현금흐름,195,0,16,-11,7
재무활동현금흐름,-164,,-2,319,-3
CAPEX,3,1,0,5,2
FCF,-40,-12,18,-134,-241
이자발생부채,0,0,15,14,6
영업이익률,0.87,-12.07,-18.04,2.02,-91.22
순이익률,0.59,-3.91,-17.00,1.69,-81.39
ROE(%),,-5.03,-17.92,1.30,-21.58
ROA(%),,-4.52,-15.48,0.79,-13.08
부채비율,12.23,10.49,21.81,90.42,33.81
자본유보율,186.95,192.70,151.22,190.51,134.62
EPS(원),13,-72,-240,20,-279
PER(배),198.89,N/A,N/A,136.67,N/A
BPS(원),"1,406","1,442","1,229","1,435","1,155"
PBR(배),1.83,1.57,5.37,1.95,2.48
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"14,016,600","14,016,600","14,136,600","19,720,225","19,720,225"
