주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,221,232,236,240,286
영업이익,12,29,28,14,6
영업이익(발표기준),12,29,28,14,6
세전계속사업이익,-15,22,33,19,116
당기순이익,-7,15,27,14,89
  당기순이익(지배),-9,13,24,10,60
  당기순이익(비지배),2,2,3,4,29
자산총계,820,812,833,821,942
부채총계,73,75,78,83,125
자본총계,746,737,755,738,817
  자본총계(지배),683,672,669,650,701
  자본총계(비지배),64,,86,88,116
자본금,45,45,45,45,45
영업활동현금흐름,38,44,33,32,11
투자활동현금흐름,1,-21,-28,0,44
재무활동현금흐름,-14,-23,-15,-35,-22
CAPEX,9,6,11,5,11
FCF,29,37,23,27,0
이자발생부채,20,17,20,19,20
영업이익률,5.26,12.64,11.67,6.04,2.03
순이익률,-3.38,6.42,11.33,5.78,31.01
ROE(%),-1.37,1.96,3.53,1.52,8.86
ROA(%),-0.91,1.83,3.24,1.68,10.04
부채비율,9.83,10.18,10.30,11.22,15.25
자본유보율,"1,534.15","1,553.56","1,581.12","1,559.94","1,655.00"
EPS(원),-57,80,142,61,360
PER(배),N/A,29.67,17.25,54.54,13.37
BPS(원),"4,300","4,274","4,322","4,266","4,577"
PBR(배),0.65,0.55,0.57,0.77,1.05
현금DPS(원),81,81,135,108,108
현금배당수익률,2.87,3.41,5.49,3.27,2.24
현금배당성향(%),-130.34,91.09,82.59,150.82,25.61
발행주식수(보통주),"16,622,320","16,622,320","16,622,320","16,622,320","16,622,320"
