주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,660,664,631,745,733
영업이익,33,21,-45,-33,-4
영업이익(발표기준),33,21,-45,-33,-4
세전계속사업이익,26,33,-39,-26,-9
당기순이익,21,26,-42,-32,-12
  당기순이익(지배),21,26,-42,-32,-12
  당기순이익(비지배),,,,,
자산총계,"1,191","1,330","1,317","1,284","1,229"
부채총계,169,297,331,333,291
자본총계,"1,022","1,033",986,951,939
  자본총계(지배),"1,022","1,033",986,951,939
  자본총계(비지배),,,,,
자본금,35,35,35,35,35
영업활동현금흐름,55,54,25,-77,69
투자활동현금흐름,-114,-103,-63,60,-13
재무활동현금흐름,-11,59,30,-4,46
CAPEX,113,90,22,9,9
FCF,-58,-36,3,-86,61
이자발생부채,7,72,108,105,160
영업이익률,4.95,3.14,-7.17,-4.46,-0.56
순이익률,3.18,3.93,-6.69,-4.23,-1.67
ROE(%),2.07,2.54,-4.18,-3.25,-1.30
ROA(%),1.77,2.07,-3.19,-2.42,-0.98
부채비율,16.54,28.69,33.62,35.00,30.94
자본유보율,"2,783.94","2,815.78","2,681.41","2,584.35","2,548.83"
EPS(원),296,368,-595,-445,-173
PER(배),39.84,47.29,N/A,N/A,N/A
BPS(원),"14,416","14,579","13,907","13,422","13,244"
PBR(배),0.82,1.19,0.81,1.37,1.03
현금DPS(원),100,50,50,50,50
현금배당수익률,0.85,0.29,0.44,0.27,0.36
현금배당성향(%),33.76,13.59,-8.40,-11.24,-28.92
발행주식수(보통주),"7,088,782","7,088,782","7,088,782","7,088,782","7,088,782"
