주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,272,396,484,610,527,645,826,988
영업이익,22,49,61,94,49,92,133,162
영업이익(발표기준),22,49,61,94,49,,,
세전계속사업이익,29,49,57,94,56,88,130,160
당기순이익,24,42,48,82,46,73,107,132
  당기순이익(지배),24,42,48,82,46,73,107,132
  당기순이익(비지배),,,,,,,,
자산총계,202,251,415,484,585,656,771,908
부채총계,82,91,103,71,68,83,107,128
자본총계,120,159,312,413,517,573,664,780
  자본총계(지배),120,159,312,413,517,573,664,780
  자본총계(비지배),,,,,,,,
자본금,16,16,20,20,42,42,42,42
영업활동현금흐름,20,28,53,70,34,73,95,121
투자활동현금흐름,9,-20,-127,-16,-124,-82,-49,-44
재무활동현금흐름,-18,-4,101,-21,70,-17,-16,-16
CAPEX,23,19,57,50,24,50,0,0
FCF,-2,8,-4,20,10,24,93,119
이자발생부채,44,40,36,0,0,,,
영업이익률,7.95,12.40,12.56,15.42,9.24,14.26,16.10,16.40
순이익률,8.88,10.51,9.93,13.52,8.81,11.32,12.95,13.36
ROE(%),25.00,29.83,20.38,22.76,9.97,13.39,17.30,18.28
ROA(%),12.52,18.39,14.43,18.37,8.68,11.76,15.00,15.72
부채비율,68.83,57.31,33.00,17.08,13.16,14.49,16.11,16.41
자본유보율,752.98,990.31,"1,543.31","1,964.69","1,164.24",,,
EPS(원),365,631,677,"1,017",559,870,"1,275","1,573"
PER(배),,,11.49,12.85,19.33,12.82,8.75,7.09
BPS(원),"1,815","2,416","4,158","5,245","6,261","6,978","8,086","9,498"
PBR(배),0.00,0.00,1.87,2.49,1.73,1.60,1.38,1.17
현금DPS(원),0,0,100,150,200,200,200,200
현금배당수익률,,,1.28,1.15,1.85,1.79,1.79,1.79
현금배당성향(%),0.00,0.00,14.48,13.76,35.67,22.99,15.69,12.72
발행주식수(보통주),"6,600,000","6,600,000","8,042,000","8,182,000","8,393,000",,,
