주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,122,149,203,"4,794","18,729"
영업이익,24,27,52,231,934
영업이익(발표기준),24,27,52,231,934
세전계속사업이익,42,11,31,"3,653","1,047"
당기순이익,34,8,23,"3,485",813
  당기순이익(지배),34,8,23,"3,452",494
  당기순이익(비지배),,,,33,319
자산총계,"1,700","1,917","2,123","12,925","23,135"
부채총계,269,492,728,"6,108","10,312"
자본총계,"1,431","1,424","1,395","6,817","12,823"
  자본총계(지배),"1,431","1,424","1,395","6,034","7,320"
  자본총계(비지배),,,,782,"5,502"
자본금,49,49,49,91,137
영업활동현금흐름,7,46,58,472,426
투자활동현금흐름,-74,-229,-248,53,-205
재무활동현금흐름,74,190,221,-174,183
CAPEX,1,4,3,294,575
FCF,6,42,56,179,-149
이자발생부채,133,330,540,"3,955","5,556"
영업이익률,19.82,18.32,25.75,4.81,4.99
순이익률,27.86,5.07,11.47,72.70,4.34
ROE(%),2.39,0.53,1.65,,7.41
ROA(%),2.06,0.42,1.15,,4.51
부채비율,18.82,34.56,52.17,89.60,80.42
자본유보율,"2,811.86","2,798.47","2,812.29","6,459.18","5,344.43"
EPS(원),348,77,238,"24,709","1,985"
PER(배),34.64,132.73,42.17,0.49,6.95
BPS(원),"14,632","14,565","14,266","34,772","27,529"
PBR(배),0.82,0.71,0.70,0.34,0.50
현금DPS(원),125,125,175,175,175
현금배당수익률,1.04,1.22,1.75,1.46,1.27
현금배당성향(%),35.97,161.57,73.62,0.88,9.42
발행주식수(보통주),"9,780,000","9,780,000","9,780,000","18,118,975","26,356,298"
