주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,409,343,528,407,171
영업이익,-40,-54,-89,-20,-46
영업이익(발표기준),-40,-54,-89,-20,-46
세전계속사업이익,-171,-198,-139,-46,-6
당기순이익,-171,-203,-144,-46,198
  당기순이익(지배),-171,-201,-101,-17,198
  당기순이익(비지배),,-2,-43,-29,
자산총계,"1,102","1,173",965,947,"1,041"
부채총계,147,202,96,125,77
자본총계,955,971,870,822,964
  자본총계(지배),955,758,699,681,964
  자본총계(비지배),,,170,141,
자본금,164,164,168,168,178
영업활동현금흐름,186,-67,-83,-29,-169
투자활동현금흐름,-247,135,-16,12,60
재무활동현금흐름,-60,0,-10,44,131
CAPEX,1,,0,,3
FCF,185,-67,-83,-29,-172
이자발생부채,43,42,3,56,53
영업이익률,-9.73,-15.65,-16.88,-5.03,-26.71
순이익률,-41.82,-59.30,-27.19,-11.41,116.01
ROE(%),-16.34,-23.50,-13.86,-2.49,23.70
ROA(%),-13.37,-17.87,-13.43,-4.85,21.64
부채비율,15.44,20.83,11.02,15.19,8.00
자본유보율,493.63,377.01,330.48,319.68,454.78
EPS(원),-531,-624,-309,-52,597
PER(배),N/A,N/A,N/A,N/A,7.84
BPS(원),"2,995","2,373","2,135","2,080","2,778"
PBR(배),4.86,1.94,2.18,1.45,1.68
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"32,220,893","32,278,430","33,094,756","33,094,756","35,038,012"
