항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),59.8,71.9,77.8,86.5,70.0,-19.0
*내수,,,71.2,76.2,,
*수출,,,6.6,10.3,,
매출원가,55.3,57.1,58.7,52.4,43.6,-16.8
매출총이익,4.5,14.8,19.0,34.2,26.5,-22.5
판매비와관리비,24.6,27.7,34.1,33.5,42.8,27.9
영업이익,-20.0,-12.9,-15.1,0.7,-16.4,"-2,532.3"
*기타영업손익,,,,,,
영업이익(발표기준),-20.0,-12.9,-15.1,0.7,-16.4,"-2,532.3"
*[구K-IFRS]영업이익,,,,,,
금융수익,0.9,41.3,0.4,0.5,6.0,"1,064.8"
금융원가,11.9,11.4,4.5,1.7,17.1,913.8
기타영업외손익,-11.6,-7.1,11.7,-0.4,1.4,425.5
"종속기업,공동지배기업및관계기업관련손익",,-1.3,,,-2.2,
법인세비용차감전계속사업이익,-42.6,8.6,-7.6,-0.9,-28.2,"-2,983.8"
법인세비용,,,,,,
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-42.6,8.6,-7.6,-0.9,-28.2,"-2,983.8"
중단사업이익,4.9,,-0.2,,,
*중단사업법인세효과,,,,,,
당기순이익,-37.7,8.6,-7.8,-0.9,-28.2,"-2,983.8"
기타포괄이익,-0.8,-0.7,-0.9,0.7,-0.8,-205.0
총포괄이익,-38.5,7.9,-8.7,-0.2,-29.0,"-14,975.2"
*주당계속사업이익,,256,-184,-20,-360,"-1,700"
*주당순이익,"-1,216",256,-189,-20,-360,"-1,700"
*희석주당계속사업이익,,-587,,,,
*희석주당순이익,,-587,,,,
*(지배주주지분)주당계속사업이익,,256,-184,-20,-360,"-1,700"
*(지배주주지분)주당순이익,"-1,216",256,-189,-20,-360,"-1,700"
*(지배주주지분)희석주당계속사업이익,,-587,,,,
*(지배주주지분)희석주당순이익,,-587,,,,
