항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
매출액(수익),92.6,90.6,112.7,94.7,206.5
*내수,84.7,,104.0,75.1,
*수출,7.9,,8.7,19.6,
매출원가,41.1,51.2,65.6,55.2,146.0
매출총이익,51.5,39.4,47.1,39.5,60.5
판매비와관리비,49.8,47.1,44.5,56.5,85.0
영업이익,1.7,-7.7,2.6,-17.0,-24.6
*기타영업손익,,,,,
영업이익(발표기준),,-7.7,2.6,-17.0,-24.6
*[구K-IFRS]영업이익,,,,,
금융수익,0.8,0.6,0.6,0.6,4.3
금융원가,0.7,5.7,5.4,0.6,6.6
기타영업외손익,0.1,-21.9,-22.3,0.0,-2.5
"종속기업,공동지배기업및관계기업관련손익",,,,,-0.1
법인세비용차감전계속사업이익,1.9,-34.7,-24.4,-17.0,-29.5
법인세비용,0.2,3.2,2.8,1.1,-9.1
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,1.7,-37.8,-27.3,-18.0,-20.4
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,1.7,-37.8,-27.3,-18.0,-20.4
기타포괄이익,0.1,10.2,-2.5,5.7,32.6
총포괄이익,1.7,-27.6,-29.7,-12.3,12.3
*주당계속사업이익,3,-79,-56,-30,-29
*주당순이익,3,-79,-56,-30,-29
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,3,-79,-56,-30,-29
*(지배주주지분)주당순이익,3,-79,-56,-30,-29
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
