항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,전년대비
매출액(수익),120.4,217.5,197.8,298.2,298.9,0.2
*내수,,,154.6,261.6,,
*수출,,,43.1,36.6,,
매출원가,81.8,156.8,152.2,219.3,218.6,-0.3
매출총이익,38.6,60.6,45.5,78.9,80.2,1.7
판매비와관리비,24.8,28.0,38.9,66.3,66.6,0.4
영업이익,13.8,32.7,6.7,12.6,13.7,8.7
*기타영업손익,,,,,,
영업이익(발표기준),13.8,32.7,6.7,12.6,13.7,8.7
*[구K-IFRS]영업이익,,,,,,
금융수익,0.2,0.2,0.5,3.6,2.8,-21.2
금융원가,0.6,3.0,2.0,1.7,1.5,-14.8
기타영업외손익,0.1,13.2,5.0,-0.8,2.5,418.7
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,13.5,43.1,10.2,13.7,17.6,28.4
법인세비용,2.1,7.5,-0.1,0.0,-0.4,"-3,674.5"
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,11.4,35.6,10.3,13.7,17.9,31.2
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,11.4,35.6,10.3,13.7,17.9,31.2
기타포괄이익,,-0.4,-2.0,0.9,-0.1,-111.2
총포괄이익,,35.3,8.2,14.6,17.8,22.0
*주당계속사업이익,"4,332","18,796",164,192,251,31
*주당순이익,"4,332","18,796",164,192,251,31
*희석주당계속사업이익,,"14,443",,190,247,30
*희석주당순이익,,"14,443",,190,247,30
*(지배주주지분)주당계속사업이익,"4,332","18,796",164,192,251,31
*(지배주주지분)주당순이익,"4,332","18,796",164,192,251,31
*(지배주주지분)희석주당계속사업이익,,"14,443",,190,247,30
*(지배주주지분)희석주당순이익,,"14,443",,190,247,30
