항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,376,-196,22,55,-145,,-366, 
  당기순이익(지배)＜당기＞,82.4,-42.9,4.9,12.0,-31.8,, , 
  보통주수정평균발행주식수＜당기＞,"21,900,000","21,900,000","21,900,000","21,900,000","21,900,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"5,290","5,020","4,987","5,000","4,848",,-3, 
  자본총계(지배)＜당기＞,"1,087.4","1,031.8","1,025.0","1,027.8",996.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"20,554,125","20,554,125","20,554,125","20,554,125","20,554,125",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,343",-45,821,-75,468,,726, 
  영업활동현금흐름＜당기＞,294.2,-9.8,179.8,-16.4,102.5,, , 
  보통주수정평균발행주식수＜당기＞,"21,900,000","21,900,000","21,900,000","21,900,000","21,900,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"3,367","2,798","2,519","2,385","1,364",,-43, 
  매출액＜당기＞,737.4,612.8,551.7,522.3,298.8,, , 
  보통주수정평균발행주식수＜당기＞,"21,900,000","21,900,000","21,900,000","21,900,000","21,900,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,11.68,N/A,213.13,97.15,N/A,,-138.25, 
  보통주수정주가(기말)＜당기＞,"4,395","3,200","4,730","5,310","5,400","5,590", , 
  EPS＜당기＞,376,-196,22,55,-145,, , 
펼치기 PBR,0.83,0.64,0.95,1.06,1.11,,4.89, 
  보통주수정주가(기말)＜당기＞,"4,395","3,200","4,730","5,310","5,400","5,590", , 
  BPS＜당기＞,"5,290","5,020","4,987","5,000","4,848",, , 
펼치기 PCR,3.27,-71.17,5.76,-71.04,11.53,,116.24, 
  보통주수정주가(기말)＜당기＞,"4,395","3,200","4,730","5,310","5,400","5,590", , 
  CPS＜당기＞,"1,343",-45,821,-75,468,, , 
펼치기 PSR,1.31,1.14,1.88,2.23,3.96,,77.77, 
  보통주수정주가(기말)＜당기＞,"4,395","3,200","4,730","5,310","5,400","5,590", , 
  SPS＜당기＞,"3,367","2,798","2,519","2,385","1,364",, , 
펼치기 EV/EBITDA,4.66,9.90,7.01,13.12,17.87,,36.25, 
  EV＜당기＞,"1,054.1",839.2,"1,010.8",952.7,617.6,, , 
  EBITDA＜당기＞,226.1,84.8,144.2,72.6,34.6,, , 
펼치기 DPS,50,30,30,30,30,,0, 
  현금DPS,50,30,30,30,30,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.14,0.94,0.63,0.56,0.56,,-0.01, 
  현금배당성향(%),12.47,-14.39,126.87,51.51,-19.37,,-70.89, 
