항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-320,364,304,-250,-78,, , 
  당기순이익(지배)＜당기＞,-47.5,54.0,45.1,-37.1,-11.6,, , 
  보통주수정평균발행주식수＜당기＞,"14,827,550","14,827,550","14,827,550","14,827,550","14,827,550","14,827,550", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,590","4,772","5,116","4,857","5,288",, , 
  자본총계(지배)＜당기＞,629.5,630.7,676.1,608.1,714.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,716,263","13,216,631","13,216,631","12,520,574","13,520,574","13,520,574", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-724,269,728,139,114,, , 
  영업활동현금흐름＜당기＞,-107.4,39.9,108.0,20.5,16.9,, , 
  보통주수정평균발행주식수＜당기＞,"14,827,550","14,827,550","14,827,550","14,827,550","14,827,550","14,827,550", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,260","6,046","5,722","4,635","4,388",, , 
  매출액＜당기＞,928.2,896.5,848.5,687.2,650.6,, , 
  보통주수정평균발행주식수＜당기＞,"14,827,550","14,827,550","14,827,550","14,827,550","14,827,550","14,827,550", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,15.24,18.57,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"7,800","5,550","5,650","5,370","19,100","10,700", , 
  EPS＜당기＞,-320,364,304,-250,-78,, , 
펼치기 PBR,1.70,1.16,1.10,1.11,3.61,, , 
  보통주수정주가(기말)＜당기＞,"7,800","5,550","5,650","5,370","19,100","10,700", , 
  BPS＜당기＞,"4,590","4,772","5,116","4,857","5,288",, , 
펼치기 PCR,-10.77,20.61,7.76,38.75,167.91,, , 
  보통주수정주가(기말)＜당기＞,"7,800","5,550","5,650","5,370","19,100","10,700", , 
  CPS＜당기＞,-724,269,728,139,114,, , 
펼치기 PSR,1.25,0.92,0.99,1.16,4.35,, , 
  보통주수정주가(기말)＜당기＞,"7,800","5,550","5,650","5,370","19,100","10,700", , 
  SPS＜당기＞,"6,260","6,046","5,722","4,635","4,388",, , 
펼치기 EV/EBITDA,-17.99,4.51,3.32,12.75,39.16,, , 
  EV＜당기＞,815.1,331.9,295.9,415.9,"2,668.7",, , 
  EBITDA＜당기＞,-45.3,73.5,89.1,32.6,68.2,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
