항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,204,167,173,-73,-133,, , 
  당기순이익(지배)＜당기＞,67.8,55.5,57.6,-24.4,-44.3,, , 
  보통주수정평균발행주식수＜당기＞,"33,220,864","33,220,864","33,220,864","33,220,864","33,220,864","35,566,194", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,862","2,979","3,124","3,018","2,892",, , 
  자본총계(지배)＜당기＞,917.7,955.1,"1,001.6",967.7,927.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"32,061,516","32,061,516","32,061,516","32,061,516","32,061,516","36,006,722", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,153,290,82,7,110,, , 
  영업활동현금흐름＜당기＞,50.8,96.3,27.4,2.4,36.6,, , 
  보통주수정평균발행주식수＜당기＞,"33,220,864","33,220,864","33,220,864","33,220,864","33,220,864","35,566,194", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,316",802,977,292,511,, , 
  매출액＜당기＞,437.1,266.5,324.5,96.9,169.7,, , 
  보통주수정평균발행주식수＜당기＞,"33,220,864","33,220,864","33,220,864","33,220,864","33,220,864","35,566,194", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,23.54,23.73,21.43,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"4,803","3,964","3,714","4,250","6,240","3,495", , 
  EPS＜당기＞,204,167,173,-73,-133,, , 
펼치기 PBR,1.68,1.33,1.19,1.41,2.16,, , 
  보통주수정주가(기말)＜당기＞,"4,803","3,964","3,714","4,250","6,240","3,495", , 
  BPS＜당기＞,"2,862","2,979","3,124","3,018","2,892",, , 
펼치기 PCR,31.39,13.68,45.11,598.33,56.57,, , 
  보통주수정주가(기말)＜당기＞,"4,803","3,964","3,714","4,250","6,240","3,495", , 
  CPS＜당기＞,153,290,82,7,110,, , 
펼치기 PSR,3.65,4.94,3.80,14.58,12.21,, , 
  보통주수정주가(기말)＜당기＞,"4,803","3,964","3,714","4,250","6,240","3,495", , 
  SPS＜당기＞,"1,316",802,977,292,511,, , 
펼치기 EV/EBITDA,11.50,13.64,19.29,-34.78,-144.39,, , 
  EV＜당기＞,"1,185.0",600.4,667.2,870.5,"1,932.6",, , 
  EBITDA＜당기＞,103.1,44.0,34.6,-25.0,-13.4,, , 
펼치기 DPS,71,36,36,0,0,, , 
  현금DPS,71,36,36,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.48,0.90,0.96,0.00,0.00,, , 
  현금배당성향(%),25.67,19.26,18.56,0.00,0.00,, , 
