항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,615,5,31,20,"1,452",,"7,193", 
  당기순이익(지배)＜당기＞,61.5,0.5,3.1,2.0,145.2,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,533","6,215","6,159","6,317","7,736",,22, 
  자본총계(지배)＜당기＞,648.1,616.7,611.1,626.8,767.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,921,891","9,921,891","9,921,891","9,921,891","9,921,891",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,43,577,-138,495,"-1,300",,-363, 
  영업활동현금흐름＜당기＞,4.3,57.7,-13.8,49.5,-130.0,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"9,051","10,154","11,329","10,636","16,542",,56, 
  매출액＜당기＞,905.1,"1,015.4","1,132.9","1,063.6","1,654.2",, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.17,"2,156.74",170.50,241.63,4.02,,-98.34, 
  보통주수정주가(기말)＜당기＞,"4,410","10,100","5,330","4,810","5,830","6,800", , 
  EPS＜당기＞,615,5,31,20,"1,452",, , 
펼치기 PBR,0.68,1.63,0.87,0.76,0.75,,-1.03, 
  보통주수정주가(기말)＜당기＞,"4,410","10,100","5,330","4,810","5,830","6,800", , 
  BPS＜당기＞,"6,533","6,215","6,159","6,317","7,736",, , 
펼치기 PCR,102.83,17.52,-38.61,9.72,-4.49,,-146.12, 
  보통주수정주가(기말)＜당기＞,"4,410","10,100","5,330","4,810","5,830","6,800", , 
  CPS＜당기＞,43,577,-138,495,"-1,300",, , 
펼치기 PSR,0.49,0.99,0.47,0.45,0.35,,-22.07, 
  보통주수정주가(기말)＜당기＞,"4,410","10,100","5,330","4,810","5,830","6,800", , 
  SPS＜당기＞,"9,051","10,154","11,329","10,636","16,542",, , 
펼치기 EV/EBITDA,5.53,541.86,"1,040.04",20.48,2.92,,-85.75, 
  EV＜당기＞,336.4,857.8,401.3,326.4,530.6,, , 
  EBITDA＜당기＞,60.8,1.6,0.4,15.9,181.8,, , 
펼치기 DPS,70,50,30,30,50,,67, 
  현금DPS,70,50,30,30,50,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.59,0.50,0.56,0.62,0.86,,0.23, 
  현금배당성향(%),11.29,"1,059.36",95.22,149.53,3.42,,-146.11, 
