항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,232,281,313,376,390,,4, 
  당기순이익(지배)＜당기＞,23.2,36.1,42.2,50.8,52.9,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","12,867,123","13,500,000","13,500,000","13,562,704","13,690,370", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,628","3,070","3,356","3,668","4,014",,9, 
  자본총계(지배)＜당기＞,162.8,414.5,453.0,488.4,531.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,000,000","13,500,000","13,500,000","13,317,550","13,239,369","13,154,320", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,29,"-1,374",-345,-272,548,,302, 
  영업활동현금흐름＜당기＞,2.9,-176.8,-46.6,-36.7,74.3,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","12,867,123","13,500,000","13,500,000","13,562,704","13,690,370", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,692,631,632,856,"1,194",,40, 
  매출액＜당기＞,69.2,81.1,85.4,115.5,161.9,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","12,867,123","13,500,000","13,500,000","13,562,704","13,690,370", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,17.71,13.73,13.96,14.23,,1.96, 
  보통주수정주가(기말)＜당기＞,,"4,970","4,295","5,250","5,550","5,370", , 
  EPS＜당기＞,232,281,313,376,390,, , 
펼치기 PBR,0.00,1.62,1.28,1.43,1.38,,-3.40, 
  보통주수정주가(기말)＜당기＞,,"4,970","4,295","5,250","5,550","5,370", , 
  BPS＜당기＞,"1,628","3,070","3,356","3,668","4,014",, , 
펼치기 PCR,,-3.62,-12.44,-19.33,10.13,,152.39, 
  보통주수정주가(기말)＜당기＞,,"4,970","4,295","5,250","5,550","5,370", , 
  CPS＜당기＞,29,"-1,374",-345,-272,548,, , 
펼치기 PSR,,7.88,6.79,6.14,4.65,,-24.24, 
  보통주수정주가(기말)＜당기＞,,"4,970","4,295","5,250","5,550","5,370", , 
  SPS＜당기＞,692,631,632,856,"1,194",, , 
펼치기 EV/EBITDA,,12.96,9.66,9.57,9.88,,3.29, 
  EV＜당기＞,,617.3,534.8,640.2,728.4,, , 
  EBITDA＜당기＞,30.0,47.6,55.3,66.9,73.7,, , 
펼치기 DPS,0,73,89,38,42,,11, 
  현금DPS,0,73,89,38,42,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,1.47,2.07,0.72,0.76,,0.03, 
  현금배당성향(%),0.00,14.00,14.72,9.97,10.52,,0.55, 
