항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,264",712,493,209,927,,344, 
  당기순이익(지배)＜당기＞,76.3,48.0,33.3,14.1,62.6,, , 
  보통주수정평균발행주식수＜당기＞,"6,031,588","6,750,733","6,750,733","6,750,733","6,750,733","6,750,733", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,997","7,728","8,245","8,371","9,223",,10, 
  자본총계(지배)＜당기＞,472.3,510.6,552.2,548.2,604.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,750,712","6,606,515","6,697,652","6,549,206","6,549,206","6,549,206", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,067",289,305,388,948,,145, 
  영업활동현금흐름＜당기＞,64.4,19.5,20.6,26.2,64.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,031,588","6,750,733","6,750,733","6,750,733","6,750,733","6,750,733", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,975","6,224","6,931","7,469","9,017",,21, 
  매출액＜당기＞,420.7,420.1,467.9,504.2,608.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,031,588","6,750,733","6,750,733","6,750,733","6,750,733","6,750,733", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,11.19,8.98,21.40,79.97,14.03,,-82.45, 
  보통주수정주가(기말)＜당기＞,"14,150","6,390","10,550","16,700","13,000","13,650", , 
  EPS＜당기＞,"1,264",712,493,209,927,, , 
펼치기 PBR,2.02,0.83,1.28,1.99,1.41,,-29.35, 
  보통주수정주가(기말)＜당기＞,"14,150","6,390","10,550","16,700","13,000","13,650", , 
  BPS＜당기＞,"6,997","7,728","8,245","8,371","9,223",, , 
펼치기 PCR,13.26,22.11,34.65,43.08,13.71,,-68.18, 
  보통주수정주가(기말)＜당기＞,"14,150","6,390","10,550","16,700","13,000","13,650", , 
  CPS＜당기＞,"1,067",289,305,388,948,, , 
펼치기 PSR,2.03,1.03,1.52,2.24,1.44,,-35.52, 
  보통주수정주가(기말)＜당기＞,"14,150","6,390","10,550","16,700","13,000","13,650", , 
  SPS＜당기＞,"6,975","6,224","6,931","7,469","9,017",, , 
펼치기 EV/EBITDA,7.41,4.39,15.48,22.69,10.78,,-52.46, 
  EV＜당기＞,699.9,238.0,600.5,"1,009.4",853.1,, , 
  EBITDA＜당기＞,94.4,54.2,38.8,44.5,79.1,, , 
펼치기 DPS,0,150,150,150,200,,33, 
  현금DPS,0,150,150,150,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,2.35,1.42,0.90,1.54,,0.64, 
  현금배당성향(%),0.00,5.13,30.19,69.68,20.94,,-48.74, 
