항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,184,432,-395,-161,948,"1,388",691,46
  당기순이익(지배)＜당기＞,31.2,73.1,-66.8,-27.2,160.4,246.5, , 
  보통주수정평균발행주식수＜당기＞,"16,917,500","16,917,500","16,917,500","16,917,500","16,917,500","17,762,530", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,461","4,807","4,344","4,134","5,456","6,302",32,16
  자본총계(지배)＜당기＞,703.9,758.6,685.5,652.4,871.9,"1,061.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,780,251","15,780,251","15,780,251","15,780,251","15,980,251","16,837,018", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,859,-30,-65,-598,674,"1,537",213,128
  영업활동현금흐름＜당기＞,145.4,-5.0,-10.9,-101.1,114.1,182.5, , 
  보통주수정평균발행주식수＜당기＞,"16,917,500","16,917,500","16,917,500","16,917,500","16,917,500","17,762,530", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,202","3,667","2,665","1,705","4,671","5,320",174,14
  매출액＜당기＞,541.7,620.4,450.9,288.5,790.2,945.0, , 
  보통주수정평균발행주식수＜당기＞,"16,917,500","16,917,500","16,917,500","16,917,500","16,917,500","17,762,530", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,48.14,20.36,N/A,N/A,36.06,14.99,177.82,-58.44
  보통주수정주가(기말)＜당기＞,"8,870","8,800","5,740","7,440","34,200","20,800", , 
  EPS＜당기＞,184,432,-395,-161,948,"1,388", , 
펼치기 PBR,1.99,1.83,1.32,1.80,6.27,3.30,248.30,-47.34
  보통주수정주가(기말)＜당기＞,"8,870","8,800","5,740","7,440","34,200","20,800", , 
  BPS＜당기＞,"4,461","4,807","4,344","4,134","5,456","6,302", , 
펼치기 PCR,10.32,-296.92,-88.87,-12.45,50.71,13.53,507.34,-73.31
  보통주수정주가(기말)＜당기＞,"8,870","8,800","5,740","7,440","34,200","20,800", , 
  CPS＜당기＞,859,-30,-65,-598,674,"1,537", , 
펼치기 PSR,2.77,2.40,2.15,4.36,7.32,3.91,67.83,-46.60
  보통주수정주가(기말)＜당기＞,"8,870","8,800","5,740","7,440","34,200","20,800", , 
  SPS＜당기＞,"3,202","3,667","2,665","1,705","4,671","5,320", , 
펼치기 EV/EBITDA,26.32,20.14,-111.98,107.53,29.66,13.37,-72.42,-54.93
  EV＜당기＞,"1,877.6","1,948.9","1,532.6","1,868.1","6,238.3","3,957.0", , 
  EBITDA＜당기＞,71.3,96.8,-13.7,17.4,210.3,296.0, , 
펼치기 DPS,80,100,0,0,200,, , 
  현금DPS,80,100,0,0,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.90,1.14,0.00,0.00,0.58,1.44,0.58,0.86
  현금배당성향(%),40.50,21.58,0.00,0.00,19.92,21.63,19.92,1.71
