항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,272,39,326,-192,"1,687",,978, 
  당기순이익(지배)＜당기＞,12.4,1.8,15.2,-9.0,94.8,, , 
  보통주수정평균발행주식수＜당기＞,"4,493,520","4,493,520","4,493,520","4,515,608","5,615,715","6,095,671", , 
  우선주수정평균발행주식수＜당기＞,"72,337","183,726","183,726","178,204",0,0, , 
펼치기 BPS,693,732,"1,057","3,245","9,407",,190, 
  자본총계(지배)＜당기＞,32.4,34.2,49.5,169.7,573.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,493,520","4,493,520","4,493,520","5,228,424","6,095,671","6,095,671", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"183,726","183,726","183,726",0,0,0, , 
펼치기 CPS,-249,69,636,"1,309","1,677",,28, 
  영업활동현금흐름＜당기＞,-11.4,3.2,29.7,61.4,94.2,, , 
  보통주수정평균발행주식수＜당기＞,"4,493,520","4,493,520","4,493,520","4,515,608","5,615,715","6,095,671", , 
  우선주수정평균발행주식수＜당기＞,"72,337","183,726","183,726","178,204",0,0, , 
펼치기 SPS,"4,625","2,836","3,454","10,474","9,101","9,564",-13,5
  매출액＜당기＞,211.2,132.6,161.5,491.7,511.1,583.0, , 
  보통주수정평균발행주식수＜당기＞,"4,493,520","4,493,520","4,493,520","4,515,608","5,615,715","6,095,671", , 
  우선주수정평균발행주식수＜당기＞,"72,337","183,726","183,726","178,204",0,0, , 
펼치기 PER,19.94,48.69,4.55,N/A,23.41,,118.20, 
  보통주수정주가(기말)＜당기＞,"5,429","1,899","1,481","24,716","39,500","33,950", , 
  EPS＜당기＞,272,39,326,-192,"1,687",, , 
펼치기 PBR,7.84,2.60,1.40,7.62,4.20,,-44.87, 
  보통주수정주가(기말)＜당기＞,"5,429","1,899","1,481","24,716","39,500","33,950", , 
  BPS＜당기＞,693,732,"1,057","3,245","9,407",, , 
펼치기 PCR,-21.82,27.56,2.33,18.89,23.56,,24.75, 
  보통주수정주가(기말)＜당기＞,"5,429","1,899","1,481","24,716","39,500","33,950", , 
  CPS＜당기＞,-249,69,636,"1,309","1,677",, , 
펼치기 PSR,1.17,0.67,0.43,2.36,4.34,3.55,83.93,-18.21
  보통주수정주가(기말)＜당기＞,"5,429","1,899","1,481","24,716","39,500","33,950", , 
  SPS＜당기＞,"4,625","2,836","3,454","10,474","9,101","9,564", , 
펼치기 EV/EBITDA,17.17,28.18,3.85,8.35,20.25,,142.59, 
  EV＜당기＞,245.8,124.1,78.3,"1,116.7","2,231.4",, , 
  EBITDA＜당기＞,14.3,4.4,20.4,133.8,110.2,, , 
펼치기 DPS,0,0,0,0,350,, , 
  현금DPS,0,0,0,0,350,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.89,,0.89, 
  현금배당성향(%),0.00,0.00,0.00,0.00,22.51,,22.51, 
