항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,213,156,444,-316,-105,,67, 
  당기순이익(지배)＜당기＞,46.6,35.3,100.1,-76.8,-26.1,, , 
  보통주수정평균발행주식수＜당기＞,"21,860,285","22,560,627","22,560,627","23,639,383","24,046,194","24,479,427", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"636,927","753,663","1,082,538", , 
펼치기 BPS,"4,271","4,479","4,938","4,062","4,354",,7, 
  자본총계(지배)＜당기＞,947.4,972.0,"1,071.7",971.2,"1,079.8",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"22,183,388","21,703,388","21,703,388","22,818,712","23,716,758","23,816,706", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,"1,089,323","1,082,538","1,082,538", , 
펼치기 CPS,"1,761",910,276,441,-180,,-141, 
  영업활동현금흐름＜당기＞,384.9,205.3,62.3,107.1,-44.6,, , 
  보통주수정평균발행주식수＜당기＞,"21,860,285","22,560,627","22,560,627","23,639,383","24,046,194","24,479,427", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"636,927","753,663","1,082,538", , 
펼치기 SPS,"7,073","6,364","10,589","8,516","8,101",,-5, 
  매출액＜당기＞,"1,546.1","1,435.8","2,389.0","2,067.3","2,009.0",, , 
  보통주수정평균발행주식수＜당기＞,"21,860,285","22,560,627","22,560,627","23,639,383","24,046,194","24,479,427", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"636,927","753,663","1,082,538", , 
펼치기 PER,30.48,28.15,16.68,N/A,N/A,,-121.16, 
  보통주수정주가(기말)＜당기＞,"6,500","4,400","7,400","11,750","8,650","6,280", , 
  EPS＜당기＞,213,156,444,-316,-105,, , 
펼치기 PBR,1.52,0.98,1.50,2.89,1.99,,-31.32, 
  보통주수정주가(기말)＜당기＞,"6,500","4,400","7,400","11,750","8,650","6,280", , 
  BPS＜당기＞,"4,271","4,479","4,938","4,062","4,354",, , 
펼치기 PCR,3.69,4.84,26.81,26.63,-48.06,,-280.46, 
  보통주수정주가(기말)＜당기＞,"6,500","4,400","7,400","11,750","8,650","6,280", , 
  CPS＜당기＞,"1,761",910,276,441,-180,, , 
펼치기 PSR,0.92,0.69,0.70,1.38,1.07,,-22.61, 
  보통주수정주가(기말)＜당기＞,"6,500","4,400","7,400","11,750","8,650","6,280", , 
  SPS＜당기＞,"7,073","6,364","10,589","8,516","8,101",, , 
펼치기 EV/EBITDA,7.65,7.35,8.84,21.03,29.50,,40.28, 
  EV＜당기＞,"2,417.4","2,023.7","2,950.9","4,118.9","3,800.3",, , 
  EBITDA＜당기＞,316.2,275.2,333.9,195.9,128.8,, , 
펼치기 DPS,0,30,30,0,,, , 
  현금DPS,0,30,30,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.68,0.41,0.00,,, , 
  현금배당성향(%),0.00,18.46,6.51,0.00,,, , 
