항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,302,492,503,271,"1,029",,279, 
  당기순이익(지배)＜당기＞,17.0,27.7,28.3,15.3,58.0,, , 
  보통주수정평균발행주식수＜당기＞,"5,636,000","5,636,000","5,636,000","5,636,000","5,636,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"6,746","7,242","7,750","8,015","9,151",,14, 
  자본총계(지배)＜당기＞,330.0,354.3,379.1,391.8,447.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,892,227","4,892,227","4,892,227","4,888,402","4,888,402","4,888,402", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,468,558,381,659,660,,0, 
  영업활동현금흐름＜당기＞,26.4,31.5,21.5,37.1,37.2,, , 
  보통주수정평균발행주식수＜당기＞,"5,636,000","5,636,000","5,636,000","5,636,000","5,636,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"3,182","3,775","3,494","3,622","4,288",,18, 
  매출액＜당기＞,179.3,212.8,196.9,204.1,241.7,, , 
  보통주수정평균발행주식수＜당기＞,"5,636,000","5,636,000","5,636,000","5,636,000","5,636,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,21.97,14.58,15.47,30.06,19.64,,-34.66, 
  보통주수정주가(기말)＜당기＞,"6,640","7,170","7,780","8,150","20,200","14,500", , 
  EPS＜당기＞,302,492,503,271,"1,029",, , 
펼치기 PBR,0.98,0.99,1.00,1.02,2.21,,117.09, 
  보통주수정주가(기말)＜당기＞,"6,640","7,170","7,780","8,150","20,200","14,500", , 
  BPS＜당기＞,"6,746","7,242","7,750","8,015","9,151",, , 
펼치기 PCR,14.20,12.84,20.40,12.37,30.59,,147.34, 
  보통주수정주가(기말)＜당기＞,"6,640","7,170","7,780","8,150","20,200","14,500", , 
  CPS＜당기＞,468,558,381,659,660,, , 
펼치기 PSR,2.09,1.90,2.23,2.25,4.71,,109.34, 
  보통주수정주가(기말)＜당기＞,"6,640","7,170","7,780","8,150","20,200","14,500", , 
  SPS＜당기＞,"3,182","3,775","3,494","3,622","4,288",, , 
펼치기 EV/EBITDA,6.25,5.28,7.60,9.31,17.34,,86.22, 
  EV＜당기＞,199.4,219.6,251.6,242.8,876.5,, , 
  EBITDA＜당기＞,31.9,41.6,33.1,26.1,50.6,, , 
펼치기 DPS,70,70,50,50,100,,100, 
  현금DPS,70,70,50,50,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.05,0.98,0.64,0.61,0.50,,-0.12, 
  현금배당성향(%),20.10,12.36,8.63,15.99,8.43,,-7.56, 
