항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,41,-96,-103,-11,47,,515, 
  당기순이익(지배)＜당기＞,32.7,-82.2,-95.6,-12.4,62.6,, , 
  보통주수정평균발행주식수＜당기＞,"80,392,412","85,359,923","92,727,176","108,835,177","132,459,343","145,788,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,450,388,331,404,552,,37, 
  자본총계(지배)＜당기＞,376.2,331.4,327.6,514.7,789.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"83,570,251","85,398,404","99,110,217","127,505,979","143,025,342","146,442,305", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,71,8,-108,7,67,,819, 
  영업활동현금흐름＜당기＞,56.9,7.0,-100.3,7.9,88.3,, , 
  보통주수정평균발행주식수＜당기＞,"80,392,412","85,359,923","92,727,176","108,835,177","132,459,343","145,788,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,375,330,372,459,394,,-14, 
  매출액＜당기＞,301.8,281.9,345.3,499.1,521.4,, , 
  보통주수정평균발행주식수＜당기＞,"80,392,412","85,359,923","92,727,176","108,835,177","132,459,343","145,788,434", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,14.53,N/A,N/A,N/A,35.00,,130.31, 
  보통주수정주가(기말)＜당기＞,590,"1,115",979,"1,315","1,655","2,120", , 
  EPS＜당기＞,41,-96,-103,-11,47,, , 
펼치기 PBR,1.31,2.87,2.96,3.26,3.00,,-7.93, 
  보통주수정주가(기말)＜당기＞,590,"1,115",979,"1,315","1,655","2,120", , 
  BPS＜당기＞,450,388,331,404,552,, , 
펼치기 PCR,8.34,136.67,-9.05,181.24,24.82,,-86.31, 
  보통주수정주가(기말)＜당기＞,590,"1,115",979,"1,315","1,655","2,120", , 
  CPS＜당기＞,71,8,-108,7,67,, , 
펼치기 PSR,1.57,3.38,2.63,2.87,4.20,,46.62, 
  보통주수정주가(기말)＜당기＞,590,"1,115",979,"1,315","1,655","2,120", , 
  SPS＜당기＞,375,330,372,459,394,, , 
펼치기 EV/EBITDA,10.37,-376.63,-40.25,26.64,21.58,,-19.00, 
  EV＜당기＞,756.8,"1,241.2","1,403.6","1,939.5","2,506.3",, , 
  EBITDA＜당기＞,72.9,-3.3,-34.9,72.8,116.2,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
