항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-2,272","-1,549","-1,146","-4,235","-2,203",,48, 
  당기순이익(지배)＜당기＞,-35.1,-30.3,-30.5,-134.6,-84.6,, , 
  보통주수정평균발행주식수＜당기＞,"1,543,978","1,954,531","2,658,695","3,048,170","3,502,377","3,610,839", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"130,569","338,925","338,925", , 
펼치기 BPS,"4,208","4,550","4,331","1,205",-848,,-170, 
  자본총계(지배)＜당기＞,66.5,103.2,127.6,41.4,-33.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"1,580,512","2,267,654","2,944,796","3,096,613","3,608,348","3,608,348", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,"338,925","338,925","338,925", , 
펼치기 CPS,"-1,080",-863,383,"-1,277",-569,,55, 
  영업활동현금흐름＜당기＞,-16.7,-16.9,10.2,-40.6,-21.9,, , 
  보통주수정평균발행주식수＜당기＞,"1,543,978","1,954,531","2,658,695","3,048,170","3,502,377","3,610,839", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"130,569","338,925","338,925", , 
펼치기 SPS,"4,492","6,496","4,290","1,964","1,295",,-34, 
  매출액＜당기＞,69.4,127.0,114.1,62.4,49.8,, , 
  보통주수정평균발행주식수＜당기＞,"1,543,978","1,954,531","2,658,695","3,048,170","3,502,377","3,610,839", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"130,569","338,925","338,925", , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-8.44, 
  보통주수정주가(기말)＜당기＞,"18,268","8,774","10,018","3,829","2,160","2,160", , 
  EPS＜당기＞,"-2,272","-1,549","-1,146","-4,235","-2,203",, , 
펼치기 PBR,4.34,1.93,2.31,3.18,N/A,,-180.18, 
  보통주수정주가(기말)＜당기＞,"18,268","8,774","10,018","3,829","2,160","2,160", , 
  BPS＜당기＞,"4,208","4,550","4,331","1,205",-848,, , 
펼치기 PCR,-16.91,-10.17,26.16,-3.00,-3.79,,-26.55, 
  보통주수정주가(기말)＜당기＞,"18,268","8,774","10,018","3,829","2,160","2,160", , 
  CPS＜당기＞,"-1,080",-863,383,"-1,277",-569,, , 
펼치기 PSR,4.07,1.35,2.33,1.95,1.67,,-14.48, 
  보통주수정주가(기말)＜당기＞,"18,268","8,774","10,018","3,829","2,160","2,160", , 
  SPS＜당기＞,"4,492","6,496","4,290","1,964","1,295",, , 
펼치기 EV/EBITDA,-34.81,54.40,51.95,-4.73,-3.28,,30.73, 
  EV＜당기＞,280.9,240.4,287.1,171.7,113.0,, , 
  EBITDA＜당기＞,-8.1,4.4,5.5,-36.3,-34.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
