항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,361","-1,136","-1,699","5,605","-5,141",,-192, 
  당기순이익(지배)＜당기＞,-63.7,-57.2,-91.6,331.1,-346.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,677,216","5,041,048","5,392,726","5,907,211","6,512,532","6,558,421", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"230,955","407,239", , 
펼치기 BPS,"1,791","1,692",29,"8,342","4,449",,-47, 
  자본총계(지배)＜당기＞,87.7,91.2,1.6,533.8,309.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,896,163","5,392,726","5,392,726","6,398,899","6,558,421","6,558,421", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,"407,239","407,239", , 
펼치기 CPS,"-1,137",-999,-968,"-2,300","-1,241",,46, 
  영업활동현금흐름＜당기＞,-53.2,-50.3,-52.2,-135.9,-83.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,677,216","5,041,048","5,392,726","5,907,211","6,512,532","6,558,421", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"230,955","407,239", , 
펼치기 SPS,1,50,25,266,452,,70, 
  매출액＜당기＞,0.1,2.5,1.4,15.7,30.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,677,216","5,041,048","5,392,726","5,907,211","6,512,532","6,558,421", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"230,955","407,239", , 
펼치기 PER,N/A,N/A,N/A,2.94,N/A,,-218.27, 
  보통주수정주가(기말)＜당기＞,"14,900","21,000","16,500","16,500","17,900","13,550", , 
  EPS＜당기＞,"-1,361","-1,136","-1,699","5,605","-5,141",, , 
펼치기 PBR,8.32,12.41,573.40,1.98,4.02,,103.40, 
  보통주수정주가(기말)＜당기＞,"14,900","21,000","16,500","16,500","17,900","13,550", , 
  BPS＜당기＞,"1,791","1,692",29,"8,342","4,449",, , 
펼치기 PCR,-13.10,-21.03,-17.04,-7.17,-14.43,,-101.13, 
  보통주수정주가(기말)＜당기＞,"14,900","21,000","16,500","16,500","17,900","13,550", , 
  CPS＜당기＞,"-1,137",-999,-968,"-2,300","-1,241",, , 
펼치기 PSR,"10,353.66",419.55,651.30,62.00,39.62,,-36.11, 
  보통주수정주가(기말)＜당기＞,"14,900","21,000","16,500","16,500","17,900","13,550", , 
  SPS＜당기＞,1,50,25,266,452,, , 
펼치기 EV/EBITDA,-11.42,-20.76,-15.73,-11.77,-9.56,,18.72, 
  EV＜당기＞,668.8,"1,064.2",895.1,"1,077.0","1,177.7",, , 
  EBITDA＜당기＞,-58.6,-51.3,-56.9,-91.5,-123.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
