항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,107,125,634,837,"1,728",,107, 
  당기순이익(지배)＜당기＞,4.5,6.4,32.8,45.5,103.4,, , 
  보통주수정평균발행주식수＜당기＞,"3,597,736","3,780,202","3,780,202","4,785,666","5,982,376","7,164,618", , 
  우선주수정평균발행주식수＜당기＞,"599,452","1,293,836","1,383,334","657,651",0,0, , 
펼치기 BPS,"2,176","2,562","3,205","3,679","7,820",,113, 
  자본총계(지배)＜당기＞,91.0,132.3,165.5,209.6,559.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,780,202","3,780,202","3,780,202","5,696,868","7,154,618","7,045,966", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"400,000","1,383,334","1,383,334",0,0,0, , 
펼치기 CPS,-191,-643,918,-135,"1,449",,"1,174", 
  영업활동현금흐름＜당기＞,-8.0,-32.6,47.4,-7.3,86.7,, , 
  보통주수정평균발행주식수＜당기＞,"3,597,736","3,780,202","3,780,202","4,785,666","5,982,376","7,164,618", , 
  우선주수정평균발행주식수＜당기＞,"599,452","1,293,836","1,383,334","657,651",0,0, , 
펼치기 SPS,"3,844","4,489","5,790","7,788","8,711",,12, 
  매출액＜당기＞,161.4,227.8,299.0,423.9,521.1,, , 
  보통주수정평균발행주식수＜당기＞,"3,597,736","3,780,202","3,780,202","4,785,666","5,982,376","7,164,618", , 
  우선주수정평균발행주식수＜당기＞,"599,452","1,293,836","1,383,334","657,651",0,0, , 
펼치기 PER,,,,,11.60,, , 
  보통주수정주가(기말)＜당기＞,,,,,"20,050","14,450", , 
  EPS＜당기＞,107,125,634,837,"1,728",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,2.56,, , 
  보통주수정주가(기말)＜당기＞,,,,,"20,050","14,450", , 
  BPS＜당기＞,"2,176","2,562","3,205","3,679","7,820",, , 
펼치기 PCR,,,,,13.84,, , 
  보통주수정주가(기말)＜당기＞,,,,,"20,050","14,450", , 
  CPS＜당기＞,-191,-643,918,-135,"1,449",, , 
펼치기 PSR,,,,,2.30,, , 
  보통주수정주가(기말)＜당기＞,,,,,"20,050","14,450", , 
  SPS＜당기＞,"3,844","4,489","5,790","7,788","8,711",, , 
펼치기 EV/EBITDA,,,,,10.75,, , 
  EV＜당기＞,,,,,"1,198.6",, , 
  EBITDA＜당기＞,14.9,10.8,38.1,77.3,111.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
