항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-279,-792,,-184, 
  당기순이익(지배)＜당기＞,,,,-62.4,-184.2,, , 
  보통주수정평균발행주식수＜당기＞,"17,635,424","17,677,566","17,761,950","17,943,567","23,251,790","26,429,162", , 
  우선주수정평균발행주식수＜당기＞,0,0,"3,478,361","4,444,686",0,0, , 
펼치기 BPS,,,,70,"1,499",,"2,033", 
  자본총계(지배)＜당기＞,,,,15.7,396.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"17,677,566","17,677,566","17,787,566","22,388,253","26,429,162","26,429,162", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,"4,600,687",0,0,0, , 
펼치기 CPS,,,,-177,-204,,-15, 
  영업활동현금흐름＜당기＞,,,,-39.5,-47.4,, , 
  보통주수정평균발행주식수＜당기＞,"17,635,424","17,677,566","17,761,950","17,943,567","23,251,790","26,429,162", , 
  우선주수정평균발행주식수＜당기＞,0,0,"3,478,361","4,444,686",0,0, , 
펼치기 SPS,,,,3,22,,519, 
  매출액＜당기＞,,,,0.8,5.0,, , 
  보통주수정평균발행주식수＜당기＞,"17,635,424","17,677,566","17,761,950","17,943,567","23,251,790","26,429,162", , 
  우선주수정평균발행주식수＜당기＞,0,0,"3,478,361","4,444,686",0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"11,100","6,870", , 
  EPS＜당기＞,,,,-279,-792,, , 
펼치기 PBR,,,,0.00,7.41,, , 
  보통주수정주가(기말)＜당기＞,,,,,"11,100","6,870", , 
  BPS＜당기＞,,,,70,"1,499",, , 
펼치기 PCR,,,,,-54.46,, , 
  보통주수정주가(기말)＜당기＞,,,,,"11,100","6,870", , 
  CPS＜당기＞,,,,-177,-204,, , 
펼치기 PSR,,,,,516.19,, , 
  보통주수정주가(기말)＜당기＞,,,,,"11,100","6,870", , 
  SPS＜당기＞,,,,3,22,, , 
펼치기 EV/EBITDA,,,,,-43.27,, , 
  EV＜당기＞,,,,,"2,526.6",, , 
  EBITDA＜당기＞,,,,-40.9,-58.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
