항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"11,066","10,075","8,693","6,246","10,060","6,668",61,-34
  당기순이익(지배)＜당기＞,"1,423.8","1,296.3","1,118.4",803.6,"1,294.4",857.9, , 
  보통주수정평균발행주식수＜당기＞,"12,866,420","12,866,420","12,866,420","12,866,420","12,866,420","12,866,420", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"60,822","68,495","75,563","80,929","98,792","107,170",22,8
  자본총계(지배)＜당기＞,"7,609.3","8,440.4","9,196.7","9,732.6","11,738.5","12,740.1", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,510,838","12,322,675","12,170,860","12,026,067","11,882,010","11,887,810", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"10,457","9,996","10,091","7,970","7,007","8,108",-12,16
  영업활동현금흐름＜당기＞,"1,345.5","1,286.1","1,298.3","1,025.4",901.5,692.1, , 
  보통주수정평균발행주식수＜당기＞,"12,866,420","12,866,420","12,866,420","12,866,420","12,866,420","12,866,420", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"39,482","37,443","36,474","39,559","43,422","58,902",10,36
  매출액＜당기＞,"5,079.9","4,817.5","4,692.9","5,089.9","5,586.8","7,578.6", , 
  보통주수정평균발행주식수＜당기＞,"12,866,420","12,866,420","12,866,420","12,866,420","12,866,420","12,866,420", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,12.30,12.80,12.37,25.50,15.72,12.21,-38.34,-22.37
  보통주수정주가(기말)＜당기＞,"136,100","129,000","107,500","159,300","158,200","81,400", , 
  EPS＜당기＞,"11,066","10,075","8,693","6,246","10,060","6,668", , 
펼치기 PBR,2.24,1.88,1.42,1.97,1.60,0.76,-18.65,-52.57
  보통주수정주가(기말)＜당기＞,"136,100","129,000","107,500","159,300","158,200","81,400", , 
  BPS＜당기＞,"60,822","68,495","75,563","80,929","98,792","107,170", , 
펼치기 PCR,13.01,12.91,10.65,19.99,22.58,10.04,12.95,-55.54
  보통주수정주가(기말)＜당기＞,"136,100","129,000","107,500","159,300","158,200","81,400", , 
  CPS＜당기＞,"10,457","9,996","10,091","7,970","7,007","8,108", , 
펼치기 PSR,3.45,3.45,2.95,4.03,3.64,1.38,-9.52,-62.07
  보통주수정주가(기말)＜당기＞,"136,100","129,000","107,500","159,300","158,200","81,400", , 
  SPS＜당기＞,"39,482","37,443","36,474","39,559","43,422","58,902", , 
펼치기 EV/EBITDA,5.48,6.45,5.21,11.48,27.00,6.80,135.14,-74.82
  EV＜당기＞,"10,822.6","9,627.2","6,912.5","14,107.1","17,943.3","7,296.0", , 
  EBITDA＜당기＞,"1,974.1","1,492.7","1,326.9","1,228.6",664.6,"1,073.3", , 
펼치기 DPS,"1,400","1,400","1,400","1,500","1,300",,-13, 
  현금DPS,"1,400","1,400","1,400","1,500","1,300",, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.03,1.09,1.30,0.94,0.82,1.98,-0.12,1.16
  현금배당성향(%),12.30,13.32,15.23,22.45,11.93,24.15,-10.51,12.22
