항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,626,544,371,379,671,,77, 
  당기순이익(지배)＜당기＞,105.5,91.6,62.4,63.4,111.3,, , 
  보통주수정평균발행주식수＜당기＞,"16,851,962","16,851,962","16,851,962","16,759,314","16,584,962","16,584,962", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,857,"1,287","1,661","1,863","3,093",,66, 
  자본총계(지배)＜당기＞,144.4,210.3,270.9,286.5,513.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"16,851,692","16,342,760","16,308,556","15,382,146","16,584,696","16,584,696", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,665,-60,456,-301,764,,354, 
  영업활동현금흐름＜당기＞,112.0,-10.1,76.8,-50.4,126.7,, , 
  보통주수정평균발행주식수＜당기＞,"16,851,962","16,851,962","16,851,962","16,759,314","16,584,962","16,584,962", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,428","3,887","3,891","3,808","4,654",,22, 
  매출액＜당기＞,409.2,655.1,655.8,638.3,771.8,, , 
  보통주수정평균발행주식수＜당기＞,"16,851,962","16,851,962","16,851,962","16,759,314","16,584,962","16,584,962", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,4.07,9.49,23.56,23.24,22.80,,-1.90, 
  보통주수정주가(기말)＜당기＞,"2,550","5,160","8,730","8,800","15,300","10,550", , 
  EPS＜당기＞,626,544,371,379,671,, , 
펼치기 PBR,2.98,4.01,5.25,4.72,4.95,,4.69, 
  보통주수정주가(기말)＜당기＞,"2,550","5,160","8,730","8,800","15,300","10,550", , 
  BPS＜당기＞,857,"1,287","1,661","1,863","3,093",, , 
펼치기 PCR,3.84,-86.33,19.15,-29.24,20.03,,168.52, 
  보통주수정주가(기말)＜당기＞,"2,550","5,160","8,730","8,800","15,300","10,550", , 
  CPS＜당기＞,665,-60,456,-301,764,, , 
펼치기 PSR,1.05,1.33,2.24,2.31,3.29,,42.28, 
  보통주수정주가(기말)＜당기＞,"2,550","5,160","8,730","8,800","15,300","10,550", , 
  SPS＜당기＞,"2,428","3,887","3,891","3,808","4,654",, , 
펼치기 EV/EBITDA,6.63,9.19,18.73,16.25,17.08,,5.09, 
  EV＜당기＞,421.5,"1,098.8","1,631.1","1,724.1","2,557.6",, , 
  EBITDA＜당기＞,63.6,119.6,87.1,106.1,149.8,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
