항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,550,966,"1,037",882,"2,120",,140, 
  당기순이익(지배)＜당기＞,38.3,72.3,79.6,67.4,158.6,, , 
  보통주수정평균발행주식수＜당기＞,"6,970,575","7,476,137","7,674,651","7,639,534","7,482,730","10,882,952", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,756","9,783","9,718","10,763","11,032",,3, 
  자본총계(지배)＜당기＞,598.2,662.0,657.6,804.4,830.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,130,887","6,766,749","6,766,749","7,473,826","7,523,826","11,543,764", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"3,076","3,611","6,132","4,254","6,879",,62, 
  영업활동현금흐름＜당기＞,214.4,270.0,470.6,325.0,514.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,970,575","7,476,137","7,674,651","7,639,534","7,482,730","10,882,952", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"21,141","20,424","22,799","23,564","28,163",,20, 
  매출액＜당기＞,"1,473.6","1,526.9","1,749.7","1,800.2","2,107.4",, , 
  보통주수정평균발행주식수＜당기＞,"6,970,575","7,476,137","7,674,651","7,639,534","7,482,730","10,882,952", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,29.27,19.09,18.08,22.78,15.57,,-31.66, 
  보통주수정주가(기말)＜당기＞,"16,100","18,450","18,750","20,100","33,000","28,200", , 
  EPS＜당기＞,550,966,"1,037",882,"2,120",, , 
펼치기 PBR,1.65,1.89,1.93,1.87,2.99,,60.17, 
  보통주수정주가(기말)＜당기＞,"16,100","18,450","18,750","20,100","33,000","28,200", , 
  BPS＜당기＞,"9,756","9,783","9,718","10,763","11,032",, , 
펼치기 PCR,5.23,5.11,3.06,4.73,4.80,,1.53, 
  보통주수정주가(기말)＜당기＞,"16,100","18,450","18,750","20,100","33,000","28,200", , 
  CPS＜당기＞,"3,076","3,611","6,132","4,254","6,879",, , 
펼치기 PSR,0.76,0.90,0.82,0.85,1.17,,37.37, 
  보통주수정주가(기말)＜당기＞,"16,100","18,450","18,750","20,100","33,000","28,200", , 
  SPS＜당기＞,"21,141","20,424","22,799","23,564","28,163",, , 
펼치기 EV/EBITDA,5.37,6.58,4.12,4.31,5.08,,17.70, 
  EV＜당기＞,"1,296.2","1,633.9","1,748.3","1,634.8","2,684.8",, , 
  EBITDA＜당기＞,241.2,248.2,424.1,379.0,528.9,, , 
펼치기 DPS,800,800,"1,000",800,"2,000",,150, 
  현금DPS,800,800,"1,000",800,"2,000",, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,4.97,4.34,5.33,3.98,6.06,,2.08, 
  현금배당성향(%),127.91,74.86,85.01,85.55,94.54,,8.99, 
