항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-329,-298,"-1,585",-4,-235,,"-5,162", 
  당기순이익(지배)＜당기＞,-109.7,-132.2,-757.3,-3.3,-196.7,, , 
  보통주수정평균발행주식수＜당기＞,"33,336,727","44,410,739","47,793,623","73,825,334","83,636,037","119,411,807", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,930","2,435","1,152","1,066",736,,-31, 
  자본총계(지배)＜당기＞,784.9,"1,071.0",750.5,820.0,667.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"40,663,129","43,974,790","65,127,300","76,926,225","90,758,945","121,069,546", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,45,-190,13,54,-6,,-112, 
  영업활동현금흐름＜당기＞,15.0,-84.4,6.2,40.0,-5.2,, , 
  보통주수정평균발행주식수＜당기＞,"33,336,727","44,410,739","47,793,623","73,825,334","83,636,037","119,411,807", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,074",573,382,620,288,,-54, 
  매출액＜당기＞,358.1,254.5,182.4,457.7,240.7,, , 
  보통주수정평균발행주식수＜당기＞,"33,336,727","44,410,739","47,793,623","73,825,334","83,636,037","119,411,807", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,97.05, 
  보통주수정주가(기말)＜당기＞,"4,795","2,275","1,440",729,"1,130","2,070", , 
  EPS＜당기＞,-329,-298,"-1,585",-4,-235,, , 
펼치기 PBR,2.48,0.93,1.25,0.68,1.54,,124.55, 
  보통주수정주가(기말)＜당기＞,"4,795","2,275","1,440",729,"1,130","2,070", , 
  BPS＜당기＞,"1,930","2,435","1,152","1,066",736,, , 
펼치기 PCR,106.77,-11.97,110.52,13.45,-180.64,,"-1,442.80", 
  보통주수정주가(기말)＜당기＞,"4,795","2,275","1,440",729,"1,130","2,070", , 
  CPS＜당기＞,45,-190,13,54,-6,, , 
펼치기 PSR,4.46,3.97,3.77,1.18,3.93,,233.90, 
  보통주수정주가(기말)＜당기＞,"4,795","2,275","1,440",729,"1,130","2,070", , 
  SPS＜당기＞,"1,074",573,382,620,288,, , 
펼치기 EV/EBITDA,210.85,80.43,-66.87,39.67,-46.23,,-216.53, 
  EV＜당기＞,"2,429.5","1,444.3","1,398.7",836.3,"1,231.7",, , 
  EBITDA＜당기＞,11.5,18.0,-20.9,21.1,-26.6,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
