항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,354,118,185,468,631,859,35,36
  당기순이익(지배)＜당기＞,45.3,15.1,23.7,59.9,80.8,110.0, , 
  보통주수정평균발행주식수＜당기＞,"12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,477","6,606","6,778","7,219","7,800",,8, 
  자본총계(지배)＜당기＞,818.0,806.9,828.3,876.3,946.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,628,210","12,214,823","12,220,623","12,139,072","12,132,080","12,001,591", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,205,209,625,558,417,,-25, 
  영업활동현금흐름＜당기＞,26.3,26.7,80.0,71.5,53.3,, , 
  보통주수정평균발행주식수＜당기＞,"12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"7,962","8,088","8,774","9,772","10,718","11,719",10,9
  매출액＜당기＞,"1,019.1","1,035.3","1,123.0","1,250.8","1,371.9","1,500.0", , 
  보통주수정평균발행주식수＜당기＞,"12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.41,31.79,40.45,17.77,15.06,10.41,-15.27,-30.85
  보통주수정주가(기말)＜당기＞,"4,745","3,755","7,500","8,320","9,510","8,950", , 
  EPS＜당기＞,354,118,185,468,631,859, , 
펼치기 PBR,0.73,0.57,1.11,1.15,1.22,,5.79, 
  보통주수정주가(기말)＜당기＞,"4,745","3,755","7,500","8,320","9,510","8,950", , 
  BPS＜당기＞,"6,477","6,606","6,778","7,219","7,800",, , 
펼치기 PCR,23.10,17.98,12.00,14.90,22.82,,53.21, 
  보통주수정주가(기말)＜당기＞,"4,745","3,755","7,500","8,320","9,510","8,950", , 
  CPS＜당기＞,205,209,625,558,417,, , 
펼치기 PSR,0.60,0.46,0.85,0.85,0.89,0.76,4.22,-13.93
  보통주수정주가(기말)＜당기＞,"4,745","3,755","7,500","8,320","9,510","8,950", , 
  SPS＜당기＞,"7,962","8,088","8,774","9,772","10,718","11,719", , 
펼치기 EV/EBITDA,4.50,6.09,12.46,6.68,8.35,,25.07, 
  EV＜당기＞,291.3,165.7,593.2,679.9,"1,030.3",, , 
  EBITDA＜당기＞,64.7,27.2,47.6,101.8,123.4,, , 
펼치기 DPS,50,30,30,80,100,,25, 
  현금DPS,50,30,30,80,100,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.05,0.80,0.40,0.96,1.05,,0.09, 
  현금배당성향(%),13.95,24.24,15.45,16.21,15.01,,-1.20, 
