항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,53,-350,145,-87,10,,112, 
  당기순이익(지배)＜당기＞,13.0,-86.8,36.0,-21.5,2.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,776,662","24,779,836","24,779,836","24,779,836","24,779,836","24,811,410", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,874,501,700,665,693,,4, 
  자본총계(지배)＜당기＞,216.5,124.1,173.5,164.8,171.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,779,836","24,779,836","24,779,836","24,779,836","24,779,836","24,822,362", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-107,57,-135,-82,-276,,-235, 
  영업활동현금흐름＜당기＞,-26.6,14.2,-33.5,-20.4,-68.3,, , 
  보통주수정평균발행주식수＜당기＞,"24,776,662","24,779,836","24,779,836","24,779,836","24,779,836","24,811,410", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,586","1,500","1,767","2,308","2,588",,12, 
  매출액＜당기＞,393.0,371.8,437.8,571.9,641.2,, , 
  보통주수정평균발행주식수＜당기＞,"24,776,662","24,779,836","24,779,836","24,779,836","24,779,836","24,811,410", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,82.45,N/A,23.39,N/A,515.79,,"1,405.05", 
  보통주수정주가(기말)＜당기＞,"4,340","3,100","3,395","3,430","5,280","4,220", , 
  EPS＜당기＞,53,-350,145,-87,10,, , 
펼치기 PBR,4.97,6.19,4.85,5.16,7.62,,47.68, 
  보통주수정주가(기말)＜당기＞,"4,340","3,100","3,395","3,430","5,280","4,220", , 
  BPS＜당기＞,874,501,700,665,693,, , 
펼치기 PCR,-40.43,54.25,-25.14,-41.72,-19.16,,54.09, 
  보통주수정주가(기말)＜당기＞,"4,340","3,100","3,395","3,430","5,280","4,220", , 
  CPS＜당기＞,-107,57,-135,-82,-276,, , 
펼치기 PSR,2.74,2.07,1.92,1.49,2.04,,37.29, 
  보통주수정주가(기말)＜당기＞,"4,340","3,100","3,395","3,430","5,280","4,220", , 
  SPS＜당기＞,"1,586","1,500","1,767","2,308","2,588",, , 
펼치기 EV/EBITDA,-78.26,87.97,306.79,-386.03,-493.51,,-27.84, 
  EV＜당기＞,997.7,688.1,793.7,914.0,"1,134.8",, , 
  EBITDA＜당기＞,-12.7,7.8,2.6,-2.4,-2.3,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
