항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,345,432,152,73,-34,,-146, 
  당기순이익(지배)＜당기＞,42.9,61.8,22.4,11.2,-5.3,, , 
  보통주수정평균발행주식수＜당기＞,"12,421,332","14,317,308","14,716,794","15,348,204","15,836,247","18,027,532", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,742","5,117","5,057","5,005","4,840",,-3, 
  자본총계(지배)＜당기＞,678.9,713.4,754.8,752.3,846.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,315,795","13,942,081","14,927,300","15,030,710","17,498,103","17,658,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,916,662,419,-217,"1,100",,607, 
  영업활동현금흐름＜당기＞,113.7,94.8,61.6,-33.3,174.2,, , 
  보통주수정평균발행주식수＜당기＞,"12,421,332","14,317,308","14,716,794","15,348,204","15,836,247","18,027,532", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"10,258","10,320","11,448","9,964","11,637",,17, 
  매출액＜당기＞,"1,274.2","1,477.6","1,684.8","1,529.3","1,842.8",, , 
  보통주수정평균발행주식수＜당기＞,"12,421,332","14,317,308","14,716,794","15,348,204","15,836,247","18,027,532", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.64,7.38,22.45,48.80,N/A,,-424.73, 
  보통주수정주가(기말)＜당기＞,"3,330","3,185","3,415","3,565","5,350","4,875", , 
  EPS＜당기＞,345,432,152,73,-34,, , 
펼치기 PBR,0.70,0.62,0.68,0.71,1.11,,55.18, 
  보통주수정주가(기말)＜당기＞,"3,330","3,185","3,415","3,565","5,350","4,875", , 
  BPS＜당기＞,"4,742","5,117","5,057","5,005","4,840",, , 
펼치기 PCR,3.64,4.81,8.16,-16.42,4.86,,129.62, 
  보통주수정주가(기말)＜당기＞,"3,330","3,185","3,415","3,565","5,350","4,875", , 
  CPS＜당기＞,916,662,419,-217,"1,100",, , 
펼치기 PSR,0.32,0.31,0.30,0.36,0.46,,28.50, 
  보통주수정주가(기말)＜당기＞,"3,330","3,185","3,415","3,565","5,350","4,875", , 
  SPS＜당기＞,"10,258","10,320","11,448","9,964","11,637",, , 
펼치기 EV/EBITDA,4.45,6.55,8.19,14.39,11.16,,-22.47, 
  EV＜당기＞,628.0,755.2,922.5,901.1,"1,286.0",, , 
  EBITDA＜당기＞,141.0,115.2,112.7,62.6,115.2,, , 
펼치기 DPS,100,100,100,100,100,,0, 
  현금DPS,100,100,100,100,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.00,3.14,2.93,2.81,1.87,,-0.94, 
  현금배당성향(%),33.37,22.56,66.67,134.07,-327.31,,-461.38, 
