,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 MH에탄올,-0.88,11.49,9.52,
1,당기순이익(지배)<당기>,-5,68,59,
2,자본총계(지배)<당기>,574,614,628,
3,자본총계(지배)<전기>,623,574,614,628
4,펼치기 필수소비재,4.11,6.58,7.67,10.74
5,당기순이익(지배)<당기>,"22,669","34,972","46,119","39,601"
6,자본총계(지배)<당기>,"565,564","538,057","624,732","356,103"
7,자본총계(지배)<전기>,"553,948","565,564","538,057","624,732"
8,펼치기 코스피,4.57,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"714,894","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"15,774,811","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,060,735","15,774,811","16,513,298","18,756,007"
