주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"46,672","44,715","49,632","50,553","52,284","55,026","55,743","57,583"
영업이익,"14,411","12,535","13,796","14,732","13,384","13,448","13,990","14,719"
영업이익(발표기준),"14,411","12,535","13,796","14,732","13,384",,,
세전계속사업이익,"13,992","13,225","14,602","16,049","14,396","14,412","14,741","15,468"
당기순이익,"12,114","9,034","10,372","11,716","9,718","10,107","10,452","11,020"
  당기순이익(지배),"12,110","9,064","10,350","11,717","9,773","10,159","10,509","10,926"
  당기순이익(비지배),5,-30,22,-1,-55,,,
자산총계,"100,203","101,979","107,524","114,684","116,373","121,559","125,140","129,543"
부채총계,"21,601","20,297","20,129","23,768","24,284","25,400","25,256","25,252"
자본총계,"78,602","81,682","87,396","90,916","92,089","96,159","99,884","104,291"
  자본총계(지배),"78,025","81,144","86,842","90,369","91,588","95,672","99,411","103,895"
  자본총계(비지배),577,538,554,547,501,,,
자본금,"9,550","9,550","9,550","9,550","9,550","9,550","9,550","9,550"
영업활동현금흐름,"11,415","8,217","10,425","12,617","14,198","9,541","11,311","10,947"
투자활동현금흐름,"-6,692",-463,"-4,592",-858,"-7,976","-4,985","-3,795","-3,898"
재무활동현금흐름,"-4,338","-5,494","-6,321","-8,089","-9,476","-6,308","-6,479","-6,136"
CAPEX,"2,996","3,533","2,222","2,161","2,244","2,447","2,387","2,213"
FCF,"8,419","4,683","8,202","10,456","11,954","7,072","8,806","8,880"
이자발생부채,"2,789","2,284","1,666","1,540","1,674",,,
영업이익률,30.88,28.03,27.80,29.14,25.60,24.44,25.10,25.56
순이익률,25.96,20.20,20.90,23.18,18.59,18.37,18.75,19.14
ROE(%),16.37,11.39,12.32,13.22,10.74,10.85,10.77,10.75
ROA(%),12.27,8.94,9.90,10.54,8.41,8.49,8.47,8.65
부채비율,27.48,24.85,23.03,26.14,26.37,26.41,25.29,24.21
자본유보율,759.31,797.90,842.76,901.98,951.22,,,
EPS(원),"8,820","6,602","7,539","8,535","7,118","7,400","7,655","7,958"
PER(배),13.09,15.38,12.44,9.74,11.10,11.27,10.90,10.48
BPS(원),"61,794","64,265","68,607","72,831","76,336","79,740","82,856","86,594"
PBR(배),1.87,1.58,1.37,1.14,1.03,1.05,1.01,0.96
현금DPS(원),"4,000","4,000","4,400","4,800","4,800","4,920","4,910","4,956"
현금배당수익률,3.46,3.94,4.69,5.78,6.08,5.90,5.89,5.94
현금배당성향(%),41.71,55.72,53.81,50.83,58.93,66.49,64.14,62.27
발행주식수(보통주),"137,292,497","137,292,497","137,292,497","137,292,497","137,292,497",,,
