주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"122,794","117,256","123,820","134,176","138,511","144,761","150,381","154,204"
영업이익,"8,263","7,407","6,862","8,862","9,790","10,509","11,575","12,592"
영업이익(발표기준),"8,263","7,407","6,862","8,862","9,790",,,
세전계속사업이익,"6,668","6,581","5,739","3,733","9,052","9,726","10,801","11,663"
당기순이익,"5,471","4,816","4,388","4,781","7,242","7,628","8,434","9,113"
  당기순이익(지배),"5,472","4,816","4,389","4,668","7,123","7,502","8,315","8,964"
  당기순이익(비지배),-1,0,0,113,119,,,
자산총계,"119,355","139,399","179,410","183,502","193,705","197,165","202,448","205,396"
부채총계,"67,025","70,866","105,914","106,990","114,120","112,575","112,526","110,204"
자본총계,"52,330","68,534","73,496","76,512","79,586","84,590","89,922","95,192"
  자본총계(지배),"52,329","68,532","70,809","73,749","76,731","81,655","86,893","92,138"
  자본총계(비지배),1,,"2,688","2,764","2,854",,,
자본금,"25,740","25,740","25,740","25,740","25,740","25,740","25,740","25,740"
영업활동현금흐름,"22,794","20,694","22,526","25,486","34,045","30,432","31,561","29,365"
투자활동현금흐름,"-13,583","-15,936","-32,143","-26,156","-29,448","-24,273","-22,693","-24,407"
재무활동현금흐름,"-7,885","-5,469","12,201","1,572","-4,165","-3,372","-4,565","-5,488"
CAPEX,"11,826","12,210","23,265","27,034","22,512","18,011","18,059","19,913"
FCF,"10,969","8,485",-739,"-1,549","11,533","9,217","12,967","4,615"
이자발생부채,"33,416","29,711","57,716","68,505","70,615",,,
영업이익률,6.73,6.32,5.54,6.60,7.07,7.26,7.70,8.17
순이익률,4.46,4.11,3.54,3.56,5.23,5.27,5.61,5.91
ROE(%),10.88,7.97,6.30,6.46,9.47,9.47,9.87,10.01
ROA(%),4.57,3.72,2.75,2.63,3.84,3.90,4.22,4.47
부채비율,128.08,103.40,144.11,139.83,143.39,133.08,125.14,115.77
자본유보율,103.24,166.44,175.24,186.70,202.06,,,
EPS(원),"1,253","1,103","1,005","1,069","1,632","1,718","1,904","2,053"
PER(배),11.17,16.00,14.13,10.99,8.34,7.97,7.19,6.67
BPS(원),"11,985","15,696","16,218","16,891","17,852","18,997","20,216","21,436"
PBR(배),1.17,1.12,0.88,0.70,0.76,0.72,0.68,0.64
현금DPS(원),400,400,400,450,550,662,756,845
현금배당수익률,2.86,2.27,2.82,3.83,4.04,4.83,5.52,6.17
현금배당성향(%),31.91,36.26,39.80,42.09,33.35,38.53,39.70,41.16
발행주식수(보통주),"436,611,361","436,611,361","436,611,361","436,611,361","436,611,361",,,
