주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,233","1,077","1,111","1,304","1,197"
영업이익,26,33,56,60,-17
영업이익(발표기준),26,33,56,60,-17
세전계속사업이익,21,28,1,56,-11
당기순이익,10,22,-48,22,-16
  당기순이익(지배),11,22,-48,22,-16
  당기순이익(비지배),-1,0,0,0,0
자산총계,"1,316","1,262","1,346","1,456","1,398"
부채총계,639,575,736,751,712
자본총계,678,687,610,705,686
  자본총계(지배),677,687,609,705,686
  자본총계(비지배),0,,0,0,0
자본금,174,181,184,184,193
영업활동현금흐름,8,132,36,51,96
투자활동현금흐름,-55,-64,-51,-90,-34
재무활동현금흐름,9,-57,53,6,-24
CAPEX,26,30,59,116,19
FCF,-18,102,-23,-65,77
이자발생부채,345,290,356,381,360
영업이익률,2.08,3.05,5.01,4.63,-1.40
순이익률,0.84,2.03,-4.29,1.68,-1.30
ROE(%),1.62,3.21,-7.35,3.35,-2.24
ROA(%),0.80,1.69,-3.65,1.57,-1.09
부채비율,94.23,83.75,120.81,106.56,103.80
자본유보율,173.93,170.98,127.70,136.93,115.98
EPS(원),54,109,-236,109,-77
PER(배),87.40,35.92,N/A,84.56,N/A
BPS(원),"3,508","3,557","3,156","3,651","3,553"
PBR(배),1.35,1.10,1.34,2.53,1.65
현금DPS(원),9,27,,0,0
현금배당수익률,0.18,0.69,,0.00,0.00
현금배당성향(%),15.12,23.49,0.00,0.00,
발행주식수(보통주),"20,195,149","20,195,149","20,195,149","20,195,149","20,195,149"
