주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,617","1,420","1,640","1,454","1,446"
영업이익,66,50,151,-21,62
영업이익(발표기준),66,50,151,-21,62
세전계속사업이익,65,25,109,-15,85
당기순이익,51,14,58,-34,74
  당기순이익(지배),54,17,61,-32,75
  당기순이익(비지배),-2,-3,-3,-1,-1
자산총계,"1,048",954,987,982,"1,009"
부채총계,655,506,478,500,439
자본총계,393,448,509,482,570
  자본총계(지배),395,446,509,480,568
  자본총계(비지배),-2,,0,2,2
자본금,210,233,233,233,233
영업활동현금흐름,145,4,191,66,49
투자활동현금흐름,-11,-7,13,-39,-19
재무활동현금흐름,-10,-43,-107,-43,-102
CAPEX,8,4,12,1,25
FCF,137,0,180,65,24
이자발생부채,433,343,272,309,224
영업이익률,4.09,3.52,9.24,-1.44,4.31
순이익률,3.16,0.97,3.54,-2.31,5.08
ROE(%),14.66,4.08,12.71,-6.53,14.25
ROA(%),5.14,1.37,5.99,-3.41,7.38
부채비율,166.52,112.89,93.98,103.81,77.03
자본유보율,91.61,95.73,118.01,104.13,136.65
EPS(원),"1,318",384,"1,304",-694,"1,604"
PER(배),7.15,23.45,7.78,N/A,5.83
BPS(원),"9,421","9,581","10,939","10,314","12,199"
PBR(배),1.00,0.94,0.93,0.90,0.77
현금DPS(원),0,,,,
현금배당수익률,0.00,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,197,449","4,653,805","4,653,805","4,653,805","4,653,805"
